school,specialization
posts and telecommunications institute technology,"['communication engineer', 'mutimedia', 'cong nghe thong tin']"
hanoi law university,['nganh luat hoc']
vietnam catholic academy,[]
hanoi school biblical theology,[]
institute biblical theology,[]
banking academy,['financial and banking']
hcm banking university,"['banking and finance', 'business administration', 'banking and finance', 'marketing']"
vietnam petroleum university,[]
hanoi university textile and garment industry,[]
court academy,[]
university union,[]
ton duc thang university,"['cong nghe thong tin', 'ke toan', 'chemical engineering', 'quan ly du lich, khach san & nha hang', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'biotechnology', 'cu nhan', 'hospitality management', 'chuyen nganh', 'cnsh', 'chuyen nganh', 'chuyen nganh', 'international business', 'chuyen nganh', 'cong nghe sinh hoc', 'english', 'chuyen nganh', 'biotechnology', 'viet nam hoc-van hoa du lich', 'du lich lu hanh']"
vietnam youth academy,[]
vietnamese women's academy,[]
ethnic academy,[]
academy science and technology,[]
hanoi university science and technology,"['cong nghe thong tin', 'cong nghe thong tin', 'cntt - it', 'lecturer in school of mechanical engineering', 'biomedical engineering', 'english for science and technology', 'ly thuyet dieu khien tu dong', 'cong nghe thong tin', 'chuyen nganh', 'chuyen nganh', 'electrical systems', 'electronic and telecommunications', 'dien tu vien thong']"
academy social sciences,[]
hanoi procuracy university,[]
hanoi capital university,[]
hcm personnel academy,[]
saigon university,"['ngon ngu anh', 'tai chinh doanh nghiep', 'business administration', 'business administation', 'accouting', 'accounting', 'international studies']"
pham ngoc thach university medicine,['doctor']
hai phong university,[]
can tho university engineering and technology,['chan nuoi trong trot']
bac lieu university,['i.t - cong nghe thong tin - ky thuat phan mem & phan cung may tinh.']
thu dau mot university,[]
dong nai university,['english language']
ha tinh university,[]
hai duong university,[]
khanh hoa university,[]
nghe an university economics,[]
vinh university medicine,[]
hoa lu university,[]
hung vuong university,[]
phu yen university,[]
quang binh university,[]
quang nam university,[]
pham van dong university,[]
ha long university,[]
thai binh university,[]
hong duc university,[]
thanh hoa university culture sports and tourism,[]
tien giang university,[]
tra vinh university,"['chuyen nganh', 'chuyen nganh', 'chuyen nganh']"
tan trao university,[]
cmc university,[]
friendship university technology and management,[]
dai nam university,['xay dung']
dong do university,[]
fpt university,"['marketing', 'software', 'marketing', 'business administration', 'tai chinh doanh nghiep', 'marketing', 'software engineering', 'quan tri kinh doanh', 'ngon ngu anh - chuyen nganh tieng anh thuong mai-du lich', 'quan tri kinh doanh']"
hoa binh university,[]
hanoi university business and technology,"['english', 'financial', 'luat kinh te']"
nguyen trai university,[]
phenikaa university,[]
hanoi university finance and banking,[]
chengdu university,[]
thang long university,"['finance & banking', 'social work', 'chuyen nganh', 'jap.', 'chuyen nganh']"
vinuni university,[]
saigon university technology,[]
hcm university technology,"['business administration', 'electronic and telecomunication', 'biotechnology engineering', 'chuyen nganh', 'computer engineering technology', 'ngon ngu anh', 'cong nghe thong tin', 'tai chinh ngan hang', 'chuyen nganh', 'international economy and trade', 'machatronics engineering', 'master of integrated marketing']"
gia dinh university,[]
hoa sen university,"['quan tri nhan luc', 'business english', 'marketing', 'international economics', 'accounting', 'hotel management', 'chuyen nganh', 'medical secretary', 'chuyen nganh', 'chuyen nganh', 'quan tri kinh doanh', 'chuyen nganh']"
hung vuong university hcm,[]
hcm university economics and finance,"['international business', 'finance and banking']"
hcm university foreign languages and information technology,"['office administration', 'japanese']"
nguyen tat thanh university,"['higher national diploma in hospitality management', 'quan tri kinh doanh']"
hcm university management and technology,[]
hong bang international university,"['quan tri kinh doanh', 'advertising graphic designer', 'fashion design', 'bachelor - majoring in business administration']"
saigon international university,[]
van hien university,[]
van lang university,"['business manager', 'accountant', 'international business', 'marketing', 'dong phuong hoc ( nhat ban)', 'pr', 'chuyen nganh', 'chuyen nganh', 'quan tri nha hang khach san']"
ba ria vung tau university,[]
east asia university technology,[]
kinh bac university,[]
bac ha international university,"['ke toan', 'cong nghe sinh hoc', 'business management', 'quan tri kinh doanh', 'biomedical engineering']"
binh duong university,['tai chinh - ngan hang']
binh duong university economics and technology,[]
eastern international university,['business administration']
quang trung university,[]
phan thiet university,[]
southern can tho university,[]
tay do university,[]
duy tan university,"['marketing', 'finance and banking', 'hoc business administration', 'business administration', 'tai chinh ngan hang', 'hospitality and tourism management', 'du lich khach san', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh ngan hang']"
east asia university,['cong nghe thong tin']
danang university architecture,[]
buon ma thuot university medicine and pharmacy,[]
dong nai university technology,['food technology']
eastern university technology,[]
pink rose university,[]
ha hoa tien university,[]
thanh dong university,[]
vo truong toan university,[]
chu van an university,[]
pacific university,[]
yersin university dalat,['english']
long an university industrial economics,[]
tan tao university,[]
luong the vinh university,[]
van xuan university technology,[]
vinh university industry,[]
phan chau trinh university,[]
thai nguyen university economics and technology,[]
phu xuan university,[]
kowloon university,[]
trung vuong university,[]
border institute,[]
vietnam people's army academy politics,[]
logistics academy,[]
military science academy,['tieng anh']
academy cryptographic engineering,[]
military technical institute,[]
air force air defense academy,[]
military medical university,[]
defense academy,[]
political officer university,[]
tran quoc tuan university / army officer university 1,[]
information and communications officer university,[]
artillery officers college,[]
college chemical defense officers,[]
special forces officer university,[]
military university culture and arts,[]
national defense industrial college,[]
college automotive technology and engineering,[]
military medical college 1,[]
tank and armor officer university,[]
nguyen hue university / army officer university 2,[]
army academy,[]
naval academy,[]
air force officers school,[]
ngo quyen university / military engineering officer university,[]
tran dai nghia university / vin hem pich military technical officer university,[]
military medical college 2,[]
naval technical college,[]
people's security academy,[]
people's police academy,[]
academy politics people's public security,[]
international academy,[]
university fire prevention and fighting,[]
university technology logistics people's public security,[]
people's security university,[]
people's police university,[]
rmit vietnam international university,"['business administration', 'business administration']"
fulbright university vietnam,[]
american university in vietnam,[]
british university vietnam,"['bachelor of business- economics and finance', 'bachelor of commerce', 'bachelor degree of commerce', 'digital media design', 'chuyen nganh', 'chuyen nganh']"
tokyo university medicine vietnam,[]
hcm university preparatory school,[]
nha trang central university preparatory school for ethnic minorities,[]
sam son university preparatory school for ethnic minorities,[]
central university preparatory school for ethnic minorities,[]
ba ria vung tau pedagogical college,[]
bac ninh pedagogical college,[]
cao bang pedagogical college,[]
dak lak pedagogical college,[]
dien bien pedagogical college,[]
gia lai pedagogical college,[]
hoa binh pedagogical college,[]
kien giang pedagogical college,[]
lang son pedagogical college,[]
long an pedagogical college,[]
nam dinh pedagogical college,[]
nghe an pedagogical college,[]
quang tri pedagogical college,[]
tay ninh pedagogical college,[]
thai binh pedagogical college,[]
thua thien hue pedagogical college,[]
central pedagogical college,[]
nha trang central pedagogical college,[]
hcm central pedagogical college,[]
thai nguyen college,[]
