school,specialization
dai hoc khoa hoc tu nhien dai hoc quoc gia hcm,"['cong nghe thong tin', 'sinh hoc', 'sinh hoc', 'vat ly', 'sinh hoc', 'cong nghe sinh hoc', 'cong nghe thong tin', 'toan hoc', 'cong nghe thong tin', 'sinh hoa', 'cong nghe thong tin', 'cong nghe thong tin', 'hoa hoc', 'cong nghe thong tin', 'cong nghe thong tin', 'quoc te sinh hoc', 'cntt', 'sinh hoc', 'do hoa ung dung da truyen thong', 'cong nghe ki thuat moi truong', 'hoa hoc', 'cong nghe thong tin', 'ngoai ngu', 'vat lieu nano va mang mong', 'khoa hoc vat lieu', 'may tinh va khoa hoc thong tin', 'toan tin', 'quan ly tai nguyen va moi truong', 'sinh hoc', 'vat ly ky thuat', 'tin hoc van phong b', 'it information technology', 'chuyen nganh', 'sinh hoa', 'chuyen nganh', 'thiet ke do hoa - web', 'cong nghe thong tin', 'vat li', 'sinh hoc', 'sinh hoc', 'ktv dien cong nghiep', 'chuyen nganh', 'hoa hoc', 'cong nghe ky thuat moi truong', 'hoa polymer va composite', 'dien tu vien thong *', 'cong nghe sinh hoc', 'toan tin hoc', 'khoa sinh hoc. chuyen nganh: di truyen - sinh hoc phan tu', 'cu nhan vat ly', 'vat ly', 'cong nghe sinh hoc', 'cong nghe moi truong', 'cong nghe thong tin', 'cong nghe thong tin', 'tin hoc van phong', 'khoa hoc vat lieu', 'sinh hoa', 'dia chat', 'quan ly moi truong', 'khoa hoc.moi truong', 'quan ly moi truong', 'vat ly dien tu', 'kiem thu phan mem lctp1', 'quan ly moi truong', 'cong nghe phan mem', 'cong nghe thong tin', 'hoa', 'cong nghe thong tin', 'khoa hoc moi truong', 'dien tu vien thong', 'cong nghe sinh hoc', 'cong nghe sinh hoc']"
dai hoc kinh te luat dai hoc quoc gia hcm,"['tai chinh / ke toan', 'quan tri kinh doanh', 'luat', 'kiem toan', 'luat kinh doanh', 'ke toan - kiem toan', 'kinh te hoc', 'ke toan - kiem toan', 'luat dan su', 'quan tri kinh doanh', 'ke toan -kiem toan', 'ke toan doanh nghiep', 'luat kinh doanh', 'ke toan - kiem toan', 'luat dan su', 'luat kinh doanh', 'luat kinh doanh', 'kinh te doi ngoai', 'ke toan', 'kinh doanh quoc te', 'luat kinh te', 'ke toan - kiem toan', 'tai chinh - ngan hang', 'luat thuong mai quoc te', 'luat thuong mai quoc te', 'chuyen nganh: kinh te hoc', 'chuyen nganh', 'he thong thong tin quan ly', 'luat thuong mai quoc te', 'quan tri kinh doanh', 'kinh te doi ngoai', 'qtkd']"
dai hoc quoc te dai hoc quoc gia hcm,"['kinh doanh quoc te', 'kinh doanh quoc te', 'quan tri kinh doanh', 'logistics va quan ly chuoi cung ung', 'quan tri kinh doanh', 'quan tri kinh doanh-marketing', 'quan tri kinh doanh']"
dai hoc thai nguyen,"['co khi che tao may', 'ngon ngu anh', 'cu nhan anh', 'quan ly nhan luc', 'chuyen nganh', 'chuyen nganh']"
dai hoc cong nghe thong tin truyen thong thai nguyen,['cong nghe thong tin']
dai hoc khoa hoc thai nguyen,"['toan - tin ung dung', 'khoa hoc quan ly', 'chuyen nganh']"
dai hoc kinh te quan tri kinh doanh thai nguyen,"['luat kinh te', 'quan tri kinh doanh du lich va khach san', 'ke toan tong hop', 'quan tri du lich va khach san', 'ke toan', 'chuyen nganh', 'quan tri kinh doanh', 'kinh te dau tu']"
dai hoc ky thuat cong nghiep thai nguyen,"['co khi che tao may', 'ky thuat co khi', 'ky thuat dien tu', 'chuyen nganh']"
dai hoc nong lam thai nguyen,"['khoa hoc moi truong', 'chuyen nganh khoa hoc cay trong', 'su pham ky thuat nong nghiep', 'su pham ky thuat nong nghielk', 'chuyen nganh']"
dai hoc su pham thai nguyen,"['su pham hoa hoc', 'sinh-hoa', 'giao duc chinh tri', 'su pham vat ly', 'su pham hoa hoc', 'tam ly giao duc', 'hoa hoc', 'sp van -dia', 'su pham lich su']"
