school,specialization
foreign trade university,"['banking and international finance', 'external economics', 'kinh te doi ngoai', 'kinh te doi ngoai', 'kinh te doi ngoai', 'economics', 'foreign economic', 'international business economics', 'international trade law', 'international business', 'external economy', 'international business', 'business administration', 'chuyen nganh', 'chuyen nganh']"
foreign trade university hcm,['international business']
foreign trade university of vietnam,['chuyen nganh']
foriegn trade university,['international finance']
fpt aptech,"['cntt', 'lap trinh vien', 'web developer', 'chuyen vien lap trinh', 'cong nghe thong tin']"
fpt aptech vietnam,['cong nghe thong tin']
fpt arena,"['thiet ke do hoa', 'thiet ke do hoa', 'thiet ke do hoa', 'thiet ke do hoa', 'thiet ke do hoa', 'thiet ke do hoa']"
fpt arena hcm,"['thiet ke do hoa, truyen thong da phuong tien']"
fpt arena multimedia,"['my thuat da phuong tien', 'graphic designer', 'graphic design', 'chuyen nganh']"
fpt arena multimedia academy,"['multimedia', 'da phuong tien']"
fpt arena multimedia vietnam,['graphic design']
fpt arena viet nam,['designer']
fpt can tho,['ngon ngu han kinh te']
fpt greenwich,['marketing']
fpt jetking,['quan tri ha tang an ninh mang']
fpt polytechnic,"['marketing', 'thiet ke website', 'ung dung phan mem', 'quan tri marketing', 'ung dung phan mem', 'cntt', 'marketing', 'chuyen nganh']"
fpt polytechnic da nang,['quan tri kinh doanh']
fpt university,"['marketing', 'software', 'marketing', 'business administration', 'tai chinh doanh nghiep', 'marketing', 'software engineering', 'quan tri kinh doanh']"
fpt university can tho,['ngon ngu anh - chuyen nganh tieng anh thuong mai-du lich']
fpt university hcm,['quan tri kinh doanh']
fsb,"['thac si quan tri kinh doanh', 'business administration']"
ftms global,['accounting & finance']
ftms global academy,['quan tri kinh doanh']
ftms global viet nam,['khoa hoc chung chi acca']
ftu,['quan tri kinh doanh quoc te']
ftu hcm,['international business management']
genetic bach khoa,['cong nghe thong tin']
gia duc thuong xuyen phu nhuan,['khoa hoc xa hoi']
giao duc thuong xuyen,['tu do']
giao duc thuong xuyen long dien,['khong co']
giao duc thuong xuyen q1,['kinh te']
giao duc thuong xuyen quan 3,['hoc sinh']
giao thong van tai dong thap,['lai xe']
giao thong van tai trung uong3toot,['lai xe']
gicuco,"['chuyen nganh', 'chem chuoi cuoi tuan']"
giong ong to,"['trung hoc pho thong', 'thpt giong ong to', 'lai xe']"
goa institute of management,['computer and application']
goethe intitus,['tieng duc']
green foods,['su pham toan']
green river community college,['business']
greenwich university,['it']
greenwich viet nam,['thiet ke do hoa']
gtmien trung,['co khi']
guangxi,['rang ham mat']
guangxi university for nationalities china,['international trade']
guilin university of technology in china,['quan ly kinh te quoc te']
guo ji wai yu xue yuan,['Ri Ben Yu']
gy,['ty']
ha noi epu,['it']
ha noi open university,"['cong nghe dien tu thong tin', 'kien truc']"
ha noi tourism college,['chuyen nganh']
ha noi univer of technology,['marketing management']
ha noi university,"['quan tri kinh doanh', 'tesol']"
ha noi university of business and technology,['english']
ha noi university of industry,['software engineering']
ha noi university of transport and communication,['bridge and tunnel engineering']
ha noi vocational college of technology,['network administrator']
ha si quan xe tang 1,['lai xe thiet giap m113']
han thuyen,"['thpt', 'han thuyen', 'tot nghiep 12', 'kinh doanh', 'lop 12']"
hang gia re,['chuyen nganh']
hanoi architectural university,['chuyen nganh']
hanoi foreign trade university,['finance and banking']
hanoi law university,['nganh luat hoc']
hanoi national university of education,"['chuyen nganh', 'chuyen nganh tam ly va quan ly giao duc', 'k64 khoa cong tac xa hoi']"
hanoi open university,"['hospitality management', 'information technology', 'accounting']"
hanoi univercity,['it']
hanoi university,['accounting - english']
hanoi university of business and technology,['financial']
hanoi university of business and technology hubt,['luat kinh te']
hanoi university of industry,['chemical technology engineer']
hanoi university of pharmacy,['clinical pharmacy']
hanoi university of science,['chemical technology and engineering']
hanoi university of science and technology,"['cong nghe thong tin', 'cong nghe thong tin', 'cntt - it', 'lecturer in school of mechanical engineering', 'biomedical engineering', 'english for science and technology', 'ly thuyet dieu khien tu dong', 'cong nghe thong tin', 'chuyen nganh', 'chuyen nganh']"
hanoi university of science vnu,['faculty of mathematics mechanics informatics']
hanoi university of technology,"['electrical systems', 'electronic and telecommunications', 'dien tu vien thong']"
harvard business school,['core program']
harvard university,"['quan ly', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh']"
haui,['kt']
hawassa university,['hoc vien hang khong-> an hang + o ko']
hbu,['duoc']
hcc saigontech,['business management']
hce,['chuyen nganh']
hcm bach khoa university,['automation vs control']
hcm college of economics,"['international bussiness', 'business administration', 'chuyen nganh']"
hcm industrial and trade college,['business administrator']
hcm industry and trade college,"['industrial electrical engineering', 'banking & finance']"
hcm open university,"['hoc tieng anh thuong mai', 'business administration', 'finance - banking', 'he thong thong tin quan ly', 'luat hoc, luat kinh te, luat hinh su']"
hcm university of architecture,"['design and applied arts', 'chuyen nganh']"
hcm university of foreign language and information technology,['business administration']
hcm university of foreign languages informarion technology,['office administration']
hcm university of foreign languages information technology,['japanese']
hcm university of industry,"['banking & finance', 'chuyen nganh']"
hcm university of law,"['international commercial law', 'luat quoc te']"
hcm university of pedagogy,['english language']
hcm university of science,['material science']
hcm university of social sciences and humanities,"['chuyen nganh', 'khoa hoc thu vien', 'english linguistics and literature']"
hcm university of technology,"['electronic and telecomunication', 'biotechnology engineering', 'chuyen nganh']"
hcm university of technology education,['computer engineering technology']
hcm university of transport,"['cong nghe thong tin', 'ky thuat cong trinh']"
hcmu international university,['eletronic engineering']
hcmut fhnw,['emba-mci']
he thong dao tao cntt bach khoa aptech,['quan tri mang']
herfordshire,['du lich khach san']
hermann gmeiner da nang,['chuyen nganh']
hiast,['chuyen nganh']
hiast collage,['tai chinh ngan hang']
hiep binh,['thpt']
hiep phu,['dang hoc nghe']
highline college,['bussiness associate']
hiu,['chuyen nganh: thiet ke noi that']
hn aptech,['lap trinh phan mem']
ho chi mibh open university,['molecular biology']
hoa ngu dan lap tan bao,['hoa ngu']
hoa sen uni,['quan tri kinh doanh']
hoa sen university,"['quan tri nhan luc', 'business english', 'marketing', 'international economics', 'accounting', 'hotel management', 'chuyen nganh', 'medical secretary', 'chuyen nganh', 'chuyen nganh', 'quan tri kinh doanh', 'chuyen nganh']"
hoa sua,['nau an']
hoa thang,['rua xe']
hoang dieu,['xa hoi']
hoang hoa tham,"['12/12', 'chuyen nganh']"
hoasen,['do hoa']
hoc cach quen mot nguoi tap song thieu mot nguoi,['chuyen nganh']
hoc hanh vat ket qua 100mam,['chuyen nganh']
hoc het cap 2,['khong co']
hoc khoa co dien me,['trung tam vnk']
hoc khoa ky nang mem,['trung tam langmater']
hoc mon,['sua chua may may']
hoc o dau con lau moi noi,['chuyen nganh']
hoc sinh le quy don bien hoa,['chuyen nganh']
hoc tai kieng giang,['khong co']
hoc tai nhom,['bo tuc van hoa']
hoc tieng nhat,['hoc tieng nhat']
hoc vien annd,['luat']
hoc vien bao chi,['xuat ban sach']
hoc vien cntt n 2 t thang long,['lap trinh vien']
hoc vien co dien ha noi,['chuyen nganh']
hoc vien cong nghe thong tin bach khoa,['quan tri mang']
hoc vien dao tao pti,['chief marketing officer']
"hoc vien hang khong an hang o khong"" vn""","['chuyen nganh', 'chuyen nganh']"
hoc vien hanh chinh,"['quan ly toc chuc va nhan su', 'hanh chinh hoc']"
hoc vien hitachi tokyo nhat ban,['tieng nhat va van hoa nhat ban']
hoc vien hoa ky,['quan tri kinh doanh']
hoc vien hoa lan,['thiet ke thoi trang']
hoc vien ke toan viet nam,['ke toan tong hop']
hoc vien ngan hang banking academy of viet nam,['he thong quan ly thong tin']
hoc vien ngan hang phan vien bac ninh,"['tai chinh ngan hang', 'tai chinh_ ngan hang']"
hoc vien nghien cuu dao tao digital marketing vinalink,['seo']
hoc vien nhat ngu jcli,['tieng nhat']
hoc vien nong nghiep ha noi,['khoa hoc cay trong']
hoc vien phep thuat,['chuyen nganh']
hoc vien quan y truong trung cap quan y 1,['y si da khoa']
hoc vien sieu nhan xanh,['chuyen vien cap cao']
hoc vien tu phap,"['luat su', 'lop dao tao nghe luat su', 'luat su', 'chung chi hanh nghe luat su', 'chung chi luat su']"
hoc vien tu phap hcm,"['dao tao luat su', 'dao tao nghiep vu luat su']"
hoc vien viet duc,['tu tap']
hochiminh university industry,"['ke toan-kiem toan', 'chuyen nganh']"
hoi ke toan ha noi,['chung chi ke toan thue']
hoi my thuat hcm,['thiet ke my thuat']
home,['cntt + tai chinh cc']
hong bang,"['quan tri kinh doanh nha hang khach san bar resort', 'qtkd', 'quan tri kinh doanh quoc te', 'trung cap duoc', 'toan ly hoa', 'y si da khoa']"
hong bang international university,"['quan tri kinh doanh', 'advertising graphic designer', 'fashion design']"
hong bang university,['account']
hong gam spa,['ky thuat vien']
hong kong institute of continuing higher education,['accounting and finance']
hongbang international university,['bachelor - majoring in business administration']
hotec,['quan tri kinh doanh']
hotel insitute montreux,['hospitality management - specialization in marketing']
hshdnd,['hdbdndn']
ht trung nghia,['thpt trung nghia']
hubt,"['mechatronic', 'ke toan', 'ke toan', 'tai chinh ngan hang', 'chuyen nganh ke toan dn', 'tai chinh']"
hue college of economics,['accounting']
hue university college of foreign english,['international studying']
huflit,"['quan tri kinh doanh quoc te', 'cong nghe phan mem', 'ngon ngu hoc', 'quan tri kinh doanh', 'business administration', 'marketing', 'quan tri kinh doanh', 'ngon ngu anh', 'pr', 'tieng anh', 'tai chinh - ngan hang', 'pr', 'ngon ngu anh', 'international business', 'translator and interpretor', 'quan tri kinh doanh', 'office administration', 'quan tri dich vu du lich va lu hanh', 'quan tri kinh doanh', 'quan he cong chung', 'tieng anh', 'cong nghe thong tin', 'dong phuong hoc', 'quan tri kinh doanh', 'chuyen nganh', 'ngon ngu anh']"
huflit university,"['english linguistics', 'international relations', 'japan studies', 'chinese mandarin']"
huhhh,['chhbh']
hult international business school,['international marketing']
human academy nhat ban,['tieng nhat']
hung phu,['lao dongsieng']
hung phu a,['lao dong pho thong']
huo shui nu zi da xue,['Xian Dai Ri Ben Wen Hua Xue Ke']
huong nghiep a au,"['chuyen banh au', 'bep', 'bep banh', 'bep truong bep viet', 'banh au', 'bep truong dieu hanh', 'barista', 'bep truong', 'lam banh', 'pha che', 'quan tri nha hang']"
hus,['chuyen dia chinh']
hutech,"['quan tri kinh doanh tai chinh ngan hang', 'thiet ke thoi trang', 'ky thuat tu dong hoa', 'quan tri khach san', 'commercial english', 'tai chinh ngan hang', 'tai chinh ngan hang', 'ngon ngu anh', 'dien-dien tu', 'ngon ngu anh', 'tieng anh thuong mai', 'co khi', 'network', 'qtkd', 'biotechnology', 'marketing', 'quan tri kinh doanh', 'quan tri kinh doanh', 'xay dung', 'quan tri kinh doanh', 'quan tri kinh doanh', 'tieng anh thuong mai', 'quan tri doanh nghiep', 'ke toan', 'ngon ngu anh', 'quan tri kinh doanh', 'quan tri kinh doanh', 'tai chinh ngan hang', 'quan tri kinh doanh', 'thiet ke thoi trang', 'ngon ngu anh', 'ke toan tai chinh', 'xay dung', 'computer networking', 'quan tri nha hang', 'dien dien tu', 'kinh doanh', 'quan tri kinh doanh', 'quan tri kinh doanh', 'quan tri nhan su', 'quan tri dich vu du lich va lu hanh', 'tai chinh-doanh nghiep']"
hutech dai hoc ky thuat cong nghe hcm,['quan tri kinh doanh']
hutech hcm,['dien cong nghiep']
hutech university,"['quan ly khach san', 'quan tri nha hang - khach san', 'english for forein trade', 'finance banking', 'xay dung']"
hutech university of technology,"['ngon ngu anh', 'cong nghe thong tin', 'tai chinh ngan hang', 'chuyen nganh']"
huynh phi hung ca mau,['lao dongkhng']
huynh van nghe,['ban rong']
huynh van sam,['trung hoc pho thong']
hvct,['dien cong nghiep']
hvkt quan su,['xay dung dan dung va cong nghiep']
icare,"['chuyen vien sua chua dien tu laptop', 'sua chua may tinh, laptop phan mem, phan cung']"
ielts,['anh van']
ilus,"['lap trinh php -mysql', 'thiet ke do hoa']"
imgroup,['marketing online']
industrial university of hcm,['khoa cong nghe ky thuat hoa hoc chuyen nganh hoa phan tich']
infowordschool,['quan tri mang']
inje,['international trade']
insa de lyon,['information technology']
institute of accounting and business management,['chief accountant']
intanashiyonarusukuruohubizinesu,['quan tri kinh doanh & am thuc']
international america university,['business managerment']
international cambridge,['business management']
international college kent,['business management']
international school of business,['business administration']
international school of hospitality studies nguyen tat thanh university,['higher national diploma in hospitality management']
international university,"['cong nghe sinh hoc', 'business management', 'quan tri kinh doanh', 'biomedical engineering']"
international university vietnam national university,['biochemical system']
ishcm,['lop 11']
itc,['ke toan']
itc enschede,['chuyen nganh']
iuh,['tai chinh ngan hang']
iuh university,['chuyen nganh']
j n u,['b i e']
jamescook university singapore,['quan tri kinh doanh']
ji nan da xue,['mis']
jlpt n3,['tieng nhat']
jr,['kr']
judical academy,['lawyer']
jv of foreign trade university and university of bedforeshire uk,['finance and business management']
kainan university,['business administration']
kaizen yoshida school,['tieng nhat']
kaplan academy,['acounting and business']
kaplan higher education academy,['sinh vien']
ke toan bac thanh,['ke toan tong hop']
ke toan kiem toan,['ke toan - kiem toan']
ke toan tong hop,['ke toan']
kent,"['thiet ke do hoa', 'nhiep anh va dung phim']"
kent college,"['digital marketing', 'digital marketing', 'nghiep vu ban ve du lich lu hanh']"
kent international college,"['marketing management', 'da truyen thong']"
keuka,['quan tri kinh doanh']
keyframe,"['video editor', 'photoshop']"
khoa chem chuoi k chop mat,['chuyen nganh']
khoa luat dai hoc quoc gia,['luat kinh doanh']
khoa ngan han,['nha hang']
khoa ngoai ngu dai hoc tn,['chuyen nganh']
khoa tai chuc dai hoc bach khoa,['dien tu vien thong']
khoi viet,['nha hang khach san']
khoi viet school,['hospitality and tourism management']
khoi viet tourism and hospitality,['du lich _ nha hang khach san']
khong bang cap,['khong bang cap']
khong co,"['khong co', 'khong co']"
khong qua truong lopchua,['lao dong pho thong']
khong the noi,['khong the noi']
khong yeu cau,['khong yeu cau']
khtn,['toan hoc']
khu do thi dai hoc pho hien,['ke toan va quan tri kinh doanh']
khuyet tat ben tre,['cong ty cong nhan']
ki thuat cong nghiep 2,['dien cong nghiep va dan dung']
ki thuat dien hoi an quang nam,['dien']
ki thuat nghiep vu an giang,['tai xe']
ki thuat nghiep vu giao thong van tai dong thap,['lop thuyen truong k7']
kiev polytechnic institute,['chuyen nganh']
kim bang a,['trung hoc']
kim dong,['khong co']
kingston international school,['hospitality & tourism']
kinh nghiem tu tim hieu,['tu hoc']
kinh te ky thuat mien nam,['ke toan']
kinh te quoc dan ha noi,['kiem toan - ke toan']
kinh te tuyen quang,['chuyen nganh']
kinh te vinh,['ke toan']
ko,['ko']
kolej universiti insaniah,['bachelor of business administration with honours']
koto,['f&b']
ksbfbflabc,['hsjgbwlkjjsvfk']
ktcn viet nam han quoc,['ki thuat dien tu']
ktkt binh duong,['cong nghe thong tin']
kuban state university,['chuyen nganh']
kutztown university,['business admision']
ky thuat hcm,['co khi']
kyoto university,['computer science with ai']
la trobe,"['tai chinh ngan hang', 'general management']"
lac hong university,"['chuyen nganh', 'kiem toan-ke toan.', 'xa hoi hoc']"
laco organic si quan luc quan,['chuyen nganh']
lai,['lai xe tai']
lai xe,"['lai xe', 'tai xe bang b2']"
lai xe tai,['van hanh dau keo']
lai xe thu duc,['lai xe']
lam ha,['bo tuc']
lam nhat son,['lam viec tu do']
lam son 2,['trung hoc pho thong']
lapland university of applied sciences,['quan tri kinh doanh']
lasan taberd bui thi xuan,['trung cap su pham']
le hoai don,['thtp']
le hong phong,"['lanh dao', 'le hong phong', 'chuyen nganh']"
le minh xuan,['bao tri may may']
le quy don,['hoc pho thong']
le thanh cong,['ko co']
le thanh ton,['trung hoc pho thong']
le thi hong gam,['khong co']
le trong hoang,['trung cap.ok']
lincoln university,['bachelor business of administration']
linconl university,['business administration']
linfield christian high school,['high school']
london college for design and fashion,['thiet ke thoi trang']
london school of economics and social science,['finance * private equity']
lop 12b7,['chuyen nganh']
lop 9 truong thcs nguyen tu,['khong']
ltu hanu,['chuyen nganh']
lu doan bo binh phong thu dao 242,['ki thuat chien dau bo binh']
lu doan dac cong 429,['at']
lun thi sao? lun dang yeu chu sao cui xuong ma nhin tao,['chuyen nganh']
lunghwa university,['chemical&engineering']
luong van can,"['khong', 'trung hoc', 'khong co']"
ly chinh thang,['thpt']
ly thuong kiet,['thpt']
ly tu trong colleges,['software technology']
mach kiem hung,"['trung hoc co so', 'mach kiem hung']"
mai jian xiong hua wen zhong xin,['chuyen nganh']
mai linh professional college,"['ke toan', 'chuyen nganh']"
malaysia open university,['business admintrator']
management quality institute,"['specialist iso 9001-14001 - ohsas 18001 - lean', 'iso secretary']"
marie curie,['thpt']
marietta high school marietta ohio,['chuyen nganh']
master bussiness administration of ftu,"['business, business management, business administration']"
mau giao nha tre ha noi,['giao duc mam non']
military science academy,['tieng anh']
minh chuyen ve noi that kunh nghiem 3 nam,['noi that']
minsk state linguistic university,['giao tiep lien van hoa']
mobipro trung tam dao tao lap trinh cho di dong chuyen nghiep,['android']
monash university,"['master of applied finance', 'accounting']"
monellier 3,['ngon ngu']
moscow state university of economics statistics and informatics,['informatics applications in economics']
muon lam giau bang doi ban tay trang :x,['chuyen nganh']
music lossless,['khoa ky thuat tai nguyen nuoc']
my thuat truyen thong da phuong tien fpt arena,['my thuat truyen thong da phuong tien']
n 2 t,"['cntt', 'quan tri mang', 'java']"
n 2 t academy,['it']
n 2 t edufirst,['network administrator']
n 2 t quang trung,['cong nghe thong tin']
n 2 t university,['software engineering']
nam khoai chau,['trung hoc']
nam ki khoi nghia,['go noi that']
nam ky khoi nghia,['tu do']
nam sai gon,"['cntt', 'ke toan', 'tin hoc']"
nang khieu the duc the thao,"['vat tu do', 'cau may']"
nanyang technology university,['digital animation']
natinal economics university,['bachelor of business administration']
national economics university,"['investment economics', 'coporate finance', 'faculty of business english', 'accounting']"
national economics university of vietnam,"['marketng', 'marketng', 'accounting & auditing', 'chuyen nganh']"
national kaohsiung hospitality college,['business administration']
network management in bachkhoa n power,['quan tri mang']
neu,"['tin hoc', 'ke toan', 'chuyen nganh', 'chuyen nganh']"
new mexico state university,['sinh hoc phan tu']
ngan hang tmcp phuong dong,['chuyen vien qhkh']
nge,['lai xe']
nghe asian,['nau an']
nghiep vu du lich vung tau,['du lich nha hang khach san']
nghiep vu nha hang hcm,['nha hang - khach san']
ngi loc 2,['bang cap 2']
ngo quyen,['12f']
ngo thoi nhiem,"['trung hoc co so', 'trung hoc pho thong']"
ngoai ngu dong du,['nhat ngu']
ngoai ngu tin hoc ho cho minh,['han quoc hoc']
ngoai thuong co so 2,['kinh te doi ngoai']
nguyen an ninh,"['trung hoc pho thong', 'hoc sinh']"
nguyen hien,['pho thong']
nguyen hue,['tieu hoc va trung hoc']
nguyen huu canh,"['co khi', 'cong nghe thong tin', 'co khi che tao']"
nguyen khuyen,['trung hoc']
nguyen minh nhat,['cong nghe thong tin']
nguyen tat thanh university,['quan tri kinh doanh']
nguyen thai binh,"['tot nghiep 12', 'trung hoc pho thong']"
nguyen thai hoc,['trung cap y te tay ninh']
nguyen thi minh khai,['ko co']
nguyen thuong hien,['thpt']
nguyen trung truc,"['kinh doanh, ban hang', 'ban hang onl']"
nguyennhuu tho,['lop 9']
nha hang hai lua cty anh duong viet nam!,"['nau an , lai xe']"
nha trang university,['quan tri kinh doanh']
nha van hoa phu nu hcm,['trang diemtra']
nha van hoa phu nu q 3,['san soc tham my.xoa bop tham my']
nhat nghe,"['ccna', 'vmware vsphere 6', 'mcse 2012']"
nhat ngu dong du,['chuyen nganh']
nhat ngu dong du / trung tam gia duc thuong xuyen hoa van,['tieng nhat (dang theo hoc ~n2) / tieng trung ( dang theo hoc ~bang a)']
nho gia tu,['makerting']
nlu,"['business adminstration', 'chuyen nganh']"
noi hanh phuc nhat chinh la duoc <3 thuong,['chuyen nganh']
noi tru ivs,['ban hang']
nong lam nghiep binh duong,['nong lam']
nong lam university,['chuyen nganh']
nong nghiep,['cong nghe thuc pham']
nong nghiep3,['kinh te']
northumbria university united kingdom,['business with finance']
nueva ecija university of science technology,['business administration']
nures,['chuyen nganh']
nvdlks viet giao,"['bep au a va dong nam akhaar', 'bep au a va dong nam a']"
o nha lao dong tu do,['lao dong tu dolam nhiet tinh tan tam voi cong viec']
official: ads vietnam design institute,['fashion designer']
ohio wesleyan university,['economics & management']
open university,"['english language', 'ba', 'finance/banking', 'manager']"
open university malaysia,['mba']
open university postgraduate,['banking and finance']
orebro university,['sommelier - culinary arts and meal science']
ou open university,['business management']
oulu university of applied sciences,['international business']
oxford brookes university,['accounting']
pace,['quan ly cap trung']
paichai university,['exchange student']
pccc,['lai xe']
pham dinh ho,['trung hoc co so']
pham ngoc thach university of medicine,['doctor']
pham van hai,['pho thong trung hoc']
phan dang luu,['hoc sinh']
phan ngoc hien,['my thuat']
phan sao nam,['khong co']
phan viet thong,['hoc van trung binh trinh do 9/12']
phat nhat sung duc,['chuyen nganh']
pho thong bac son,['vua tot nghiep cap 3']
pho thong dan toc noi tru trung hoc pho thong tinh hoa binh,['xa hoi']
pho thong nang khieu the duc the thao ha noi,"['van dong vien', 'van dong vien']"
pho thong trung hoc,['van hoa']
pho thong trung hoc ban cong chuyen ngoai ngu,['tieng anh']
pho thong trung hoc chuyen nguyen hue ha dong,['chuyen toan']
pho thong trung hoc cu chinh lan,['pho thong']
pho thong trung hoc dan lap tran quang khai,['cap 3']
pho thong trung hoc ho thi ky,['hoc lop 10']
pho thong trung hoc le hong phong nam dinh,['lop tieng phap']
pho thong trung hoc nguyen du,['12/12']
pho thong trung hoc pham hong thai,['cap 3']
pho thong trung hoc tieu la,['khong co']
pho thong trung hoc van hanh,['hoc sinh']
pho thong trung hoc xa tat thang huyen thanh son tinh phu tho,['giao nhan hang bang xe may']
pho thong van hien,['ke toan']
pho thong vung liem,['toan']
phong trao giao duc phi chinh phu huong dao sinh viet nam,['truong huong dao sinh - nganh au']
phu cuong,['ko co ch']
phu lam,['cong nghe thong tin']
phu my,['tai xe - dien']
phu thanh,['trung hoc co so']
phu xuyen a,['pho thong']
phuong nam,"['duoc si', 'duoc']"
phuong phu phung hiep hau giang,['trung binh']
planet american english school,['english']
plekhanov russian university of economics,['informatics applications in management']
polyart training art design,['graphic design']
posts and telecommunications institute of technology,"['communication engineer', 'mutimedia']"
posts telecommunications institute of technology,['cong nghe thong tin']
principia college,['educational studies and global perspectives']
psb academy singapore,['bachelor of commerce']
pt dong kinh,['het lop 12']
pt tan thong hoi,['lop 12']
pt vcvb,['dai hoc y']
ptdt noi tru,['nghe']
ptdtbtth co so siu bleh,['administrative body']
ptit,"['telecommunications', 'information technology', 'chuyen nganh']"
qlks viet uc,"['nghe thuat trang tri banh kem', 'banh au co ban', 'banh au nang cao']"
qnu,['chuyen nganh']
qs qk9,['si quan quan doi']
quan doan 1,['lai xe']
quan khu 5,['hoc lai xe']
quan li khach san viet uc,['quan tri nha hang khach san']
quan ly khach san viet uc,['bep']
quan ly khach san viet uc vacc,['am thuc nau an']
quan ly nha hang khach san viet uc,['bartender']
quan su bo tu lenh hcm,['cao dang lien thong nganh quan su co so khoa iii']
quan su ha giang,['trung hoc co so']
quan su quan doan 1,"['chuyen nganh cong binh', 'quan y']"
quan su quan doan 4,['quan ly']
quan tri nha hang khach san hcm,['nha hang khach san']
quang nam que huong tuoi tho toi,['chuyen nganh']
quang tri kinh doanh,['chuyen nganh']
queensfield business school,['quan tri du lich va khach san']
quy duc,['tai xe']
quynh in seoul,['hoc vien']
raffles business institute,['hospitality management']
raffles college of design and commerce,['hospitality']
raffles design commerce thailand,['graphic design']
rich for plan,['quan ly nha hang khach san chuyen bar']
rmit,"['commercial', 'business of marketing', 'kinh doanh: kinh te & tai chinh', 'commerce', 'electronic']"
rmit international university,['business administration']
rmit international university vietnam,['business administration']
rmit university,"['bachelor of fashion merchandising', 'economics & finance']"
rmit university hanoi,['bachelor of commerce']
rmit university vietnam,"['bachelor of business- economics and finance', 'bachelor of commerce', 'bachelor degree of commerce', 'digital media design', 'chuyen nganh', 'chuyen nganh']"
rmit vietnam,"['professional communication', 'commerce', 'commerce']"
rmit vn,['commerce']
sai gon american english,['tieng anh giao tiep']
sai gon touris,['quan li nha hang khach san']
sai gon tourism,['bep nha hang khach san']
sai gon tourist,['banh au']
sai gon university,"['ngon ngu anh', 'tai chinh doanh nghiep']"
saigon act,['hung den vien dl']
saigon college of art culture and tourism,['quan tri dich vu du lich va lu hanh']
saigon tech university,['business administration']
saigon technology university,['business administation']
saigon touris,['du lich va nha hang khach san']
saigon tourism vocational college,"['hospitality management', 'chuyen nganh quan tri lu hanh']"
saigon tourist,"['dau bep', 'quan ly nha hang']"
saigon tourist hospitality college,['cook asia']
saigon university,"['accouting', 'accounting', 'international studies']"
saigonact,"['tai chinh ngan hang', 'chuyen nganh', 'thu ki van phong']"
saigonchildren charity,['nha hang khach san']
saigontech houston community collage,['marketing']
saigontech houston community college,['marketing']
saigontech institude university,['internation business']
saigontourist,"['nha hang, khach san', 'quan ly nha hang', 'quan ly nha hang', 'quan ly khach san', 'restaurant manager', 'quan tri luu tru', 'khach san', 'nha hang khach san', 'huong dan vien du lich', 'chuyen nganh bep au . co bang bep a', 'ky thuat che bien mon an', 'dau bep bac cao', 'quan ly']"
saigontourist hospitality college,"['hotel management', 'hotel and restaurant management']"
saigontourit,['dau bep bac caoloai']
sakan,['tieng han giao tiep']
salon ngoc ha,['cat toc']
san jose state university,['computer electronics and network technology']
san khau den anh,['quay phim dien anh']
sat hach lai xe hai van,['hang c']
saxion hogeschool,['international business']
school for international manpower,['quan tri nha hang - khach san']
seattle central college,['associate program']
seattle university,['international business']
seneca,['chuyen nganh']
seoul national uni,['business']
seoul national university,"['global sport management', 'chuyen nganh', 'chuyen nganh']"
serum thao duoc kieu beauty queen,['chuyen nganh']
sg tourist,['qli nha hang']
sgu,['it']
sgu sai gon university,['chuyen nganh tieng anh( thuong mai- du lich)']
shaw academy ireland,['social marketing']
sheffield hallam university,"['international human resources management', 'international marketing']"
si quan luc quan 1,"['quan su co so', 'quan su co so']"
si quan luc quan 2,['quan su co so']
si ri shi qing bao wai yu zhuan men xue xiao,['office']
siast canada,['quan tri kinh doanh quoc te']
sinh vien hutech,"['phuc vu nha hang', 'chuyen nganh', 'qtkd']"
skt ssu,['truyen thong da phuong tien']
skyline school,['c3']
so canh sat pccc da nang,['pccc&cnch']
soc trang teachers ' training college,['cntt']
sofitel plaza hanoi,['service industry']
softech da nang,['lap trinh vien']
sonadezi college of technology and management,['manager']
soongsil university,['business administration']
south china university of technology,['international economy and trade']
southern cross university,['administrative business']
southern new hamsphire university,['economics - finance']
southwest jiaotong university,['chuyen nganh']
southwest texas state,['tam ly']
spa linh chi,['tham my']
spkt,['cntt']
spkthy,['chuyen nganh']
sri krishna college of engineering and technology,['chuyen nganh']
stanford graduate school of business,['executive development program']
sthc,['du lich']
sthc saigontourist hospitality college,"['batender', 'batender', 'hotel management', 'chuyen nganh', 'hotel, restaurant & tourism management\\r', 'hotel management', 'hotel management']"
sthc saigontourist hospitality college zai ji zhe,['du lich']
stu,['graphic design']
su pham ca mau,['cong nghe']
super junior,['chuyen nganh']
t/c mau giao nha tre ha noi,['mam non']
ta,['fa']
ta quang buu,['cap3']
tafe south australia,['it']
tai chinh hai quan,"['xuat nhap khau', 'kinh doanh thuong mai']"
tai chinh marketting,['ke toan']
tai chinh qtkd,['ke toan tong hop']
taiwan,['thai tradition massage']
tam ly h,['tam ly hoc phat trien - kt tc']
tampere university of applied sciences,['international business']
tan phu,['trung hoc co so']
tan viet,['nha hang-ks']
tay nguyen university,"['cu nhan van', 'chuyen nganh']"
tc bcvt cntt 1,['ki thuat dai tram']
tc duoc ha noi,['duoc si']
