school,specialization
cao dang nghe brvt,['dien cong nghiep']
cao dang nghe cntt ispace,"['an ninh mang', 'an ninh mang', 'thiet ke do hoa']"
cao dang nghe ladec,"['ke toan doanh nghiep', 'quan tri kinh doanh', 'ke toan doanh nghiep']"
cao dang nghe ladec thu duc,['chuyen nganh']
cao dang nghe lod,['lai xe hang b2']
cao dang nghe mo hong cam,['dien cong nghiep']
cao dang nghe mo hong cam tkv,['sua chua co dien mo']
cao dang nghe mo huu nghi tkv,['trung cap nghe than khoang san viet nam']
cao dang nghe quoc te lilama2,"['dien, dien dieu khien trong cong nghiep']"
cao dang nghe so 20,['cong nghe oto']
cao dang nghe so 7,"['lap trinh may tinh', 'cong nghe o to', 'cong nghe o to', 'cong nghe o to', 'co khi']"
cao dang nghe so 7 btl qk7,['computer programming']
cao dang nghe so 8,"['ke toan', 'ke toan doanh nghiep', 'chuyen nganh duoc si', 'ke toan doanh nghiep', 'co khi', 'cong nghe thong tin', 'cong nghe thong tin', 'dien tu cong nghiep']"
cao dang nghe thsn khoang san,['khoa ham lo']
cao dang nghe thuy loi hung yen,['nghe hantotn']
cao dang nghe van lang,['ky thuat che bien mon an']
cao dang nghe viet duckha,['dien tu cong nghiep']
cao dang nghen ptnt bac bo,['chuyen nganh: thu y']
cao dang nguyen tat thanh,"['thu ky van phong', 'ke toan tin hoc']"
cao dang phu lam,['co dien tu']
cao dang quan tri nha hang khach san viet uc,['quan li nha hang']
cao dang quoc te kent,"['thiet ke do hoa', 'ky nang thuyet trinh']"
cao dang sonadezi,['ke toan']
cao dang ssnd 2,['hang c']
cao dang su pham ben tre,['su pham my thuat']
cao dang su pham ca mau,['chuyen nganh']
cao dang su pham dong nai,['anh van thuong mai.']
cao dang su pham ha noi,"['giao duc tieu hoc', 'viet nam hoc', 'tieng anh thuong mai - du lich', 'su pham hoa hoc', 'su pham tieu hoc', 'su pham toan', 'giao duc tieu hoc', 'su pham dia - giao duc cong dan']"
cao dang su pham hai duong,"['su pham tieu hoc', 'toan - tin']"
cao dang su pham hue,"['tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'tin hoc ngoai ngu', 'ke toan doanh nghiep', 'thiet ke thoi trang']"
cao dang su pham hung yen,['hoa sinh']
cao dang su pham ky thuat,['det may']
cao dang su pham lao cai,['giao duc tieu hovj']
cao dang su pham nha trang,['cong nghe thong tin']
cao dang su pham soc trang,"['su pham', 'su pham']"
cao dang su pham the duc the thao ha noi,['gdtc']
cao dang tai chinh hai quan,"['kinh doanh quoc te', 'quan tri nha hang khach san', 'ke toan nha nuoc', 'ke toan', 'nganh thue- hai quan', 'ke toan doanh nghiep', 'quan tri kinh doanh tong hop', 'quan tri kinh doanh', 'ke toan', 'quan tri marketing', 'ke toan doanh nghiep', 'tai chinh ngan hang', 'kinh doanh xuat nhap khau', 'tai chinh ngan hang', 'quan tri marketing', 'kinh doanh xuat nhap khau', 'quan tri kinh doanh', 'quan tri marketing', 'chuyen nganh: ke toan doanh nghiep', 'tai chinh', 'ke toan tai chinh doanh nghiep', 'tai chinh - ke toan', 'thue hai quan', 'thpt', 'kinh doanh ngan hang', 'kinh doanh xuat nhap khau', 'chuyen nganh', 'chuyen nganh']"
cao dang tai chinh hai quan hcm,['quan tri kinh doanh tong hop']
cao dang tai chinh quan tri kinh doanh,"['ke toan', 'tai chinh ngan hang', 'tai chinh - ngan hang']"
cao dang tai nguyen moi truong,['ke toan']
cao dang tai nguyen moi truong hcm,['quan ly dat dai']
cao dang tc quan tri kinh doanh,['ke toan']
cao dang thoi trang london,['thiet ke va cong nghe tao mau']
cao dang thuong mai du lich ha noi da tung hoc khoa ktoans thuc te chuyen sau,['ke toan tong hop']
cao dang thuy san,"['nuoi trong thuy san', 'ke toan']"
