,school_name,specialization,normalized_school,predicted_school,normalized_major,predicted_major
33,Đại học Tài chính Marketing,Quản trị du lịch,đại học tài chính marketing,"(1.0, 'đại học tài chính marketing')",quản trị du lịch,"(0.5217391304347826, 'quản trị dịch vụ du lịch và lữ hành')"
34,tc sp mẫu giáo nhà trẻ hn,giáo viên mầm non,tc sp mẫu giáo nhà trẻ hn,"(0.12903225806451613, 'đại học giáo dục hà nội')",giáo viên mầm non,"(0.47058823529411764, 'giáo dục mầm non')"
35,Đại học Thủ Đô,Tiếng Trung Quốc,đại học thủ đô,"(0.6666666666666666, 'đại học thủ đô hà nội')",tiếng trung quốc,"(0.6666666666666666, 'sư phạm tiếng trung quốc')"
36,điện xi nghiệp,điện,điện xi nghiệp,"(0.22727272727272727, 'cao đẳng nghề điện biên')",điê n,"(0.25, 'điêu khắc')"
37,thpt Lê thị riêng,học sinh,thpt lê thị riêng,"(1.0, 'trung học phổ thông')",học sinh,"(1.0, 'học sinh')"
38,Cao đẳng y tế Thanh Hóa,Dươc học,cao đẳng y tế thanh hóa,"(0.4782608695652174, 'cao đẳng y tế thanh hóa')",dươc ho c,"(0.2222222222222222, 'báo chí')"
39,THPT Tây Sơn,THPT,thpt tây sơn,"(1.0, 'trung học phổ thông')",Phổ thông,"(1.0, 'phổ thông')"
40,THPT Tây Sơn,THPT,thpt tây sơn,"(1.0, 'trung học phổ thông')",Phổ thông,"(1.0, 'phổ thông')"
41,Đại Học Xây Dựng Miền Tây,Xây Dựng Dân Dụng,đại học xây dựng miền tây,"(1.0, 'đại học xây dựng miền tây')",xây dựng dân dụng,"(0.5454545454545454, 'xây dựng dân dụng và công nghiệp')"
42,Trường THPT PHAN CHU TRINH,Học sinh,thpt phan chu trinh,"(1.0, 'trung học phổ thông')",học sinh,"(1.0, 'học sinh')"
43,cao đẳng kỹ thuật nghiệp vụ thủ đũc,CNTT,cao đẳng kỹ thuật nghiệp vụ thủ đũc,"(0.5862068965517241, 'cao đẳng kỹ thuật công nghiệp')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
44,học viện nông nghiệp việt nam,nông học,học viện nông nghiệp việt nam,"(1.0, 'học viện nông nghiệp việt nam')",nông học,"(1.0, 'nông học')"
45,học viện nông nghiệp Việt Nam,Sản xuất và quản lý sản xuất rau hoa quả trong nhà có mái cho,học viện nông nghiệp việt nam,"(1.0, 'học viện nông nghiệp việt nam')",sản xuất và quản lý sản xuất rau hoa quả trong nhà có mái cho,"(0.3142857142857143, 'quản lý sản xuất')"
46,dh nông lâm tp hồ chí minh,công nghệ hóa học,đại học nông lâm tp hcm,"(1.0, 'đại học nông lâm tp hcm')",công nghệ hóa học,"(0.5789473684210527, 'công nghệ kỹ thuật hóa học')"
47,đại học sư phạm tphcm,Tiếng Anh,đại học sư phạm tp hcm,"(1.0, 'đại học sư phạm tp hcm')",tiếng anh,"(0.5384615384615384, 'sư phạm tiếng anh')"
48,Đại học công đoàn,xã hội học,đại học công đòan,"(0.625, 'đại học công đoàn')",xã hội học,"(1.0, 'xã hội học')"
49,Cao Đẳng VHNT & DL Nha trang,Thanh Nhạc,cao đẳng vhnt & dl nha trang,"(0.52, 'cao đẳng du lịch nha trang')",thanh nhạc,"(1.0, 'thanh nhạc')"
50,cao đẳng kỹ thuật cao thắng,kế toán,cao đẳng kỹ thuật cao thắng,"(1.0, 'cao đẳng kỹ thuật cao thắng')",kế toán,"(1.0, 'kế toán')"
51,Đại học An Giang,Công nghệ - kỹ thuật - môi trường,đại học an giang,"(1.0, 'đại học an giang đại học quốc gia hcm')",công nghệ kỹ thuật môi trường,"(1.0, 'công nghệ kỹ thuật môi trường')"
52,cao đẳng cộng đồng,kế toán,cao đẳng cộng đồng,"(0.75, 'cao đẳng cộng đồng cà mau')",kế toán,"(1.0, 'kế toán')"
53,cao đẳng cộng đồng,kế toán,cao đẳng cộng đồng,"(0.75, 'cao đẳng cộng đồng cà mau')",kế toán,"(1.0, 'kế toán')"
54,cao đẳng cộng đồng,kế toán,cao đẳng cộng đồng,"(0.75, 'cao đẳng cộng đồng cà mau')",kế toán,"(1.0, 'kế toán')"
55,cao đẳng cộng đồng,kế toán,cao đẳng cộng đồng,"(0.75, 'cao đẳng cộng đồng cà mau')",kế toán,"(1.0, 'kế toán')"
56,cao đẳng cộng đồng,kế toán,cao đẳng cộng đồng,"(0.75, 'cao đẳng cộng đồng cà mau')",kế toán,"(1.0, 'kế toán')"
57,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
58,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
59,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
60,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
61,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
62,cao đẳng sư phạm huế,tin học ngoại ngữ,cao đẳng sư phạm huế,"(1.0, 'cao đẳng sư phạm huế')",tin học ngoại ngữ,"(0.35714285714285715, 'địa tin học')"
