school,specialization
cao dang cong dong dong thap,"['chuyen nganh cong nghe thuc pham', 'cong nghe thuc pham', 'dich vu thu y']"
cao dang cong dong ha noi,"['ke toan', 'cong nghe ky thuat xay dung', 'quan tri marketing', 'ke toan', 'chuyen nganh', 'contabilidad']"
cao dang cong dong hai phong,['ke toan']
cao dang cong dong kien giang,['cong nghe thuc pham']
cao dang cong dong soc trang,"['ke toan', 'chuyen nganh']"
cao dang cong dong vinh long,"['cao dang cong nghe thuc pham', 'nuoi trong thuy san']"
cao dang cong nge thu duc,['quan tri kinh doanh']
cao dang cong nghe,"['cntt', 'he thong dien']"
cao dang cong nghe 4,['dien va co khi']
cao dang cong nghe bac ha,"['tieng han', 'tin hoc ung dung', 'ke toan', 'ke toan', 'dien tu', 'quan tri kinh doanh', 'ky thuat dien dien tu', 'ke toan']"
cao dang cong nghe bac ha co so dong ngac,['ingenieria de caminos']
cao dang cong nghe cao dong nai,['quan tri kinh doanh']
cao dang cong nghe cao ha noi,['ky thuat may tinh']
cao dang cong nghe da nang,"['co khi che tao may', 'cong nghe ky thuat co-dien tu', 'tin hoc ung dung', 'ki thuat dien', 'conh nghe ky thuat dien']"
cao dang cong nghe dai hoc da nang,"['ky thuat xay dung cong trinh', 'ky thuat dien']"
cao dang cong nghe dong a,['ke toan']
cao dang cong nghe giay co dien,['dien cong nghiep']
cao dang cong nghe ha noi,"['ke toan', 'dien-dien tu', 'cong nghe thong tin', 'tai chinh _ ngan hang']"
cao dang cong nghe hcm,['cong nghe may']
cao dang cong nghe hue,['dien cong nghiep']
cao dang cong nghe kinh te cong nghiep,['ke toan doanh nghiep']
cao dang cong nghe kinh te cong nghiep thai nguyen,['xay']
cao dang cong nghe kinh te cong nhiep,['ke toan doanh nghiep']
cao dang cong nghe kinh te ha noi,['ke toan']
cao dang cong nghe ky thuat ba ria vung tau,['ke toan tong hop']
cao dang cong nghe ladec truong dai hoc thanh dong,['quan tri kinh doanh']
cao dang cong nghe lilama1,['co khi che tao va lap dat ong cong nghe']
cao dang cong nghe nam dinh,['co khi che tao']
cao dang cong nghe o to,['cong nghe o to']
cao dang cong nghe qt sonadezi,['thiet ke']
cao dang cong nghe quan tri doanh nghiep,"['ke toan, tim hoc', 'ke toan doanh nghiep', 'quan tri kinh doanh']"
cao dang cong nghe quan tri sonadezi,"['ke toan tai chinh doanh nghiep', 'quan tri kinh doanh', 'cong nghe may - thiet ke rap', 'tai chinh ngan hang', 'ke toan']"
cao dang cong nghe quy nhon,['dien cong nghiep']
cao dang cong nghe sai gon,['quan tri kinh doanh']
