,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
4319,hóc môn,hoc mon,CannotFound,sửa chữa máy may,sua chua may may,sua chua may may
4320,đại học kinh tế - luật tphcm,dai hoc kinh te luat hcm,dai hoc kinh te hcm,tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
4321,ĐH Mỏ địa chất,dai hoc mo dia chat,dai hoc mo dia chat,Khai thác lộ thiên,khai thac lo thien,khai thac lo thien
4322,Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Ngoại ngữ Kinh tế,ngoai ngu kinh te,ngoai ngu kinh te
4323,trung cấp tổng hợp tp hcm,trung cap tong hop hcm,CannotFound,kế tóan doanh nghiệp,ke toan doanh nghiep,ke toan doanh nghiep
4324,cao dang nghe thuy loi hung yen,cao dang nghe thuy loi hung yen,cao dang nghe thuy loi hung yen,nghe hantotn,nghe hantotn,nghe hantotn
4325,cao đẳng văn lang,cao dang van lang,cao dang nghe van lang ha noi,bếp,bep,bep
4326,đại học công nghiệp hà nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,công nghệ ô tô,cong nghe o to,cong nghe o to
4327,trường cao đẳng nghề cơ điện phú thọ,cao dang nghe co dien phu tho,cao dang co dien phu tho,kế toán doanh nghiệp,ke toan doanh nghiep,ke toan doanh nghiep
4328,Đại học kinh tế kỹ thuật công nghiệp Hà Nội,dai hoc kinh te ky thuat cong nghiep ha noi,dai hoc kinh te ky thuat cong nghiep,Tài chính doanh nghiệp,tai chinh doanh nghiep,tai chinh doanh nghiep
4329,Đại học FPT,dai hoc fpt,dai hoc fpt,Kỹ thuật phần mềm,ky thuat phan mem,ky thuat phan mem
4330,đại học sư phạm hà nội,dai hoc su pham ha noi,dai hoc su pham ha noi,sư phạm sinh,su pham sinh,su pham sinh hoc
4331,Đại học Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Điều dưỡng,dieu duong,dieu duong
4332,truong trung cap nghe viet nam singapore,trung cap nghe viet nam singapore,CannotFound,dien cong nghiep vs bang lai xe hang c,dien cong nghiep vs bang lai xe hang c,dien cong nghiep vs bang lai xe hang c
4333,Đại Học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,Công nghệ Sinh học,cong nghe sinh hoc,cong nghe sinh hoc
4334,trường đại học Nông Lâm tp HCM,dai hoc nong lam hcm,dai hoc nong lam hcm,điều khiển tự động,dieu khien tu dong,ky thuat dieu khien tu dong hoa
4335,Đại học Lao động - Xã hội,dai hoc lao dong xa hoi,dai hoc lao dong xa hoi,Quản trị nhân sự,quan tri nhan su,quan tri nhan luc
4336,Đại Học Nông Lâm TPHCM,dai hoc nong lam hcm,dai hoc nong lam hcm,Sư Phạm Kĩ Thuật Nông Nghiệp,su pham ki thuat nong nghiep,su pham ky thuat nong nghiep
4337,Trường đại học công nghệ giao thông vận tải,dai hoc cong nghe giao thong van tai,dai hoc cong nghe giao thong van tai,Kế toán doanh nghiệp,ke toan doanh nghiep,ke toan doanh nghiep
4338,TRUNG TÂM HÀN NGỮ KOHI,trung tam han ngu kohi,CannotFound,Hàn ngữ sơ cấp 1,han ngu so cap 1,han ngu so cap 1
4339,Đại học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,Công nghệ sinh học,cong nghe sinh hoc,cong nghe sinh hoc
4340,Viện Đại Học Mở Hà Nội,vien dai hoc mo ha noi,dai hoc mo ha noi,Công. ghệ thông tin,cong ghe thong tin,cong nghe thong tin
4341,c 500l,c 500l,CannotFound,lái xe,lai xe,lai xe
4342,hướng nghiệp á âu,huong nghiep a au,CannotFound,bếp trưởng bếp việt,bep truong bep viet,bep truong bep viet
4343,đại học khánh hòa,dai hoc khanh hoa,dai hoc khanh hoa,Hướng dẫn viên,huong dan vien,huong dan vien
4344,Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Tài chính doanh nghiệp,tai chinh doanh nghiep,tai chinh doanh nghiep
4345,cao đẳng công nghiệp phúc yên,cao dang cong nghiep phuc yen,cao dang cong nghiep hung yen,kế toán,ke toan,ke toan
4346,cao đẳng kinh tế HCM,cao dang kinh te hcm,cao dang kinh te hcm,tiếng anh,tieng anh,su pham tieng anh
4347,Đại học Tài chính Quản Trị kinh doanh,dai hoc tai chinh quan tri kinh doanh,dai hoc tai chinh quan tri kinh doanh,Tài Chính Doanh Nghiệp,tai chinh doanh nghiep,tai chinh doanh nghiep
4348,Đại học Công Nghệ Tp. HCM,dai hoc cong nghe hcm,dai hoc cong nghe hcm,kế toán / tài chính / ngân hàng,ke toan / tai chinh / ngan hang,tai chinh ngan hang
4349,"Human Academy, Nhật Bản",human academy nhat ban,CannotFound,Tiếng Nhật,tieng nhat,su pham tieng nhat
4350,THPT krongana,trung hoc pho thong krongana,trung hoc pho thong krongana,Không có ,khong co,khong co
4351,không bằng  cấp,khong bang cap,CannotFound,không bằng cấp,khong bang cap,khong bang cap
4352,University of Greenwich,university of greenwich,university of greenwich,Business Administration,business administration,quan tri kinh doanh
4353,spkt,spkt,CannotFound,cntt,cong nghe thong tin,cong nghe thong tin
4354,Cao đẳng Nghệ Thuật Hà Nội,cao dang nghe thuat ha noi,cao dang nghe thuat ha noi,Chuyên ngành Thiết Kế Thời Trang,chuyen nganh thiet ke thoi trang,thiet ke thoi trang
4355,Trường Đại Học Công Nghệ TPHCM HUTECH,dai hoc cong nghe hcm hutech,dai hoc cong nghe hcm,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
4356,THPT Bỉm Sơn,trung hoc pho thong bim son,trung hoc pho thong bim son,cấp 3,cap 3,cap 3
4357,đại học quốc gia hồng bàng,dai hoc quoc gia hong bang,dai hoc quoc te hong bang,tâm lý học,tam ly hoc,tam ly hoc
4358,Đại học Bách khoa tphcm,dai hoc bach khoa hcm,dai hoc bach khoa hcm,kỹ thuật địa chất dầu khí,ky thuat dia chat dau khi,ky thuat dia chat
4359,trường cao đẳng kinh tế tphcm,cao dang kinh te hcm,cao dang kinh te hcm,tài chính kế toán,tai chinh ke toan,tai chinh ke toan
4360,ĐH Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Quản Trị Kinh Doanh,quan tri kinh doanh,quan tri kinh doanh
4361,Học khoá kỹ năng mềm,hoc khoa ky nang mem,CannotFound,Trung tâm langmater,trung tam langmater,trung tam langmater
4362,Học khoá cơ điện ME,hoc khoa co dien me,CannotFound,Trung tâm VNK,trung tam vnk,trung tam vnk
4363,Troy university,troy university,troy university,Business Administration,business administration,quan tri kinh doanh
4364,Đại học kinh tế quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Kế toán tổng hợp,ke toan tong hop,ke toan
4365,đại học thương mại,dai hoc thuong mai,dai hoc thuong mai,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
4366,cao dang thuong mai va du lich,cao dang thuong mai du lich,cao dang thuong mai du lich ha noi,ke toan,ke toan,ke toan
4367,saigontourist,saigontourist,CannotFound,"nhà hàng, khách sạn",nha hang khach san,nha hang khach san
4368,HUFLIT,huflit,CannotFound,Ngôn ngữ anh,ngon ngu anh,ngon ngu anh
4369,Đại học Quốc Gia Hà Nội,dai hoc quoc gia ha noi,dai hoc quoc gia ha noi,kế toán,ke toan,ke toan
4370,trung cấp kế toán và kỹ nghệ thực hành Phú Thọ,trung cap ke toan ky nghe thuc hanh phu tho,CannotFound,kế toán doanh nghiệp sản xuất,ke toan doanh nghiep san xuat,ke toan doanh nghiep san xuat
4371,thpt Củ chi,trung hoc pho thong cu chi,trung hoc pho thong cu chi,k,k,k
4372,đại học Văn Lang,dai hoc van lang,dai hoc van lang,công nghệ sinh học,cong nghe sinh hoc,cong nghe sinh hoc
4373,đại học Văn Lang,dai hoc van lang,dai hoc van lang,công nghệ sinh học,cong nghe sinh hoc,cong nghe sinh hoc
4374,trung tâm giáo dục thường xuyên Tân Bình,trung tam giao duc thuong xuyen tan binh,CannotFound,trung học,trung hoc,trung quoc hoc
4375,cao đẳng nghề công nghiệp hà nội,cao dang nghe cong nghiep ha noi,cao dang nghe cong nghiep ha noi,kế toán doanh nghiệp,ke toan doanh nghiep,ke toan doanh nghiep
4376,Đại học Quốc tế Miền Đông,dai hoc quoc te mien dong,dai hoc quoc te mien dong,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
4377,Đại Học Đông Á Đà Nẵng,dai hoc dong a da nang,dai hoc da nang,Quản trị du lịch,quan tri du lich,quan tri du lich khach san
4378,cao đẳng Bách Việt,cao dang bach viet,cao dang bach viet, công nghệ kỹ thuật xây dựng,cong nghe ky thuat xay dung,cong nghe ky thuat xay dung
4379,Trường Đại Học Tây Đô,dai hoc tay do,dai hoc tay do,Kế toán,ke toan,ke toan
4380,Đại học Công Nghệ TP.HCM( hutech),dai hoc cong nghe hcm,dai hoc cong nghe hcm,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
4381,cđ cntt tphcm,cao dang cong nghe thong tin hcm,cao dang cong nghe thong tin hcm,kế toán,ke toan,ke toan
4382,Đại học Tra Vinh,dai hoc tra vinh,dai hoc tra vinh,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
4383,huong nghiep a au,huong nghiep a au,CannotFound,banh au,banh au,banh au
4384,đh Lao động xã hội,dai hoc lao dong xa hoi,dai hoc lao dong xa hoi,Bảo hiểm,bao hiem,bao hiem
4385,Đh công nghệ - đh qghn,dai hoc cong nghe dai hoc quoc gia ha noi,dai hoc cong nghe dai hoc quoc gia ha noi,vật lý kĩ thuật,vat ly ki thuat,vat ly ky thuat
4386,đh công nghệ - đh qghn,dai hoc cong nghe dai hoc quoc gia ha noi,dai hoc cong nghe dai hoc quoc gia ha noi,vật liệu và linh kiện nano,vat lieu linh kien nano,vat lieu linh kien nano
4387,ĐẠI HỌC HÙNG VƯƠNG,dai hoc hung vuong,dai hoc hung vuong,TÀI CHÍNH NGÂN HÀNG,tai chinh ngan hang,tai chinh ngan hang
4388,dh công nghệ gtvtc,dai hoc cong nghe giao thong van taic,dai hoc cong nghe giao thong van tai,Cầu dường,cau duong,cau duong
4389,Cao đẳng thực hành FPT Polytechnic,cao dang thuc hanh fpt polytechnic,cao dang thuc hanh fpt,Cử nhân,cu nhan,cu nhan
4390,Trường Đại Học Sư Phạm Kỹ Thuật Nam Định,dai hoc su pham ky thuat nam dinh,dai hoc su pham ky thuat nam dinh,Công Nghệ Ô Tô,cong nghe o to,cong nghe o to
4391,Dai Hoc dien luc Ha Noi ,dai hoc dien luc ha noi,dai hoc dien luc,TCNH ,tcnh,tcnh
4392,Dai Hoc dien luc Ha Noi ,dai hoc dien luc ha noi,dai hoc dien luc,TCNH ,tcnh,tcnh
4393,Đại Học Văn Lang,dai hoc van lang,dai hoc van lang,Quản trị khách sạn,quan tri khach san,quan tri khach san
4394,Trường Đại học Tài chính - Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Cử Nhân,cu nhan,cu nhan
4395,Đại học Kinh tế TPHCM ,dai hoc kinh te hcm,dai hoc kinh te hcm,Cử Nhân,cu nhan,cu nhan
4396,Trường Đại học Tài chính - Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Cử Nhân,cu nhan,cu nhan
4397,Đại học Kinh tế TPHCM ,dai hoc kinh te hcm,dai hoc kinh te hcm,Cử Nhân,cu nhan,cu nhan
4398,Trường THPT Gia Định,trung hoc pho thong gia dinh,trung hoc pho thong gia dinh,Học sinh,hoc sinh,sinh hoc
4399,Trường THPT Gia Định,trung hoc pho thong gia dinh,trung hoc pho thong gia dinh,Học sinh,hoc sinh,sinh hoc
4400,Đại học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,Quan hệ lao động,quan he lao dong,quan he lao dong
4401, Đại Học Lâm Nghiệp,dai hoc lam nghiep,dai hoc lam nghiep,Lâm Sinh,lam sinh,lam sinh
4402,đại học công nghệ sài gòn,dai hoc cong nghe sai gon,dai hoc cong nghe sai gon,quản trị tài chính,quan tri tai chinh,quan tri tai chinh
4403,su phạm kĩ thuật Vĩnh long,su pham ki thuat vinh long,dai hoc su pham ky thuat vinh long,Co khí chế tạo,co khi che tao,co khi che tao
4404,National Kaohsiung Hospitality College,national kaohsiung hospitality college,CannotFound,Business Administration,business administration,quan tri kinh doanh
4405,"Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội",dai hoc cong nghe dai hoc quoc gia ha noi,dai hoc cong nghe dai hoc quoc gia ha noi,1,1,1
4406,cao đẳng cao thắng,cao dang cao thang,cao dang cao thang,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
4407,trường trung cấp Kinh Tế Kỹ Thuật Nguyễn Hữu Cảnh,trung cap kinh te ky thuat nguyen huu canh,CannotFound,tin học,tin hoc,dia tin hoc
4408,Đại học y dược Tp Ho Chii Minh,dai hoc y duoc ho ch 2 minh,dai hoc y duoc ho ch 2 minh,Pharmacy,pharmacy,duoc hoc
4409,Đại học Quốc Gia Hn,dai hoc quoc gia ha noi,dai hoc quoc gia ha noi,Quản trị kinh doanh- marketing,quan tri kinh doanh marketing,quan tri kinh doanh
4410, ĐH LAO ĐỘNG XÃ HỘI cs2,dai hoc lao dong xa hoi co so 2,dai hoc lao dong xa hoi,Kế Toán,ke toan,ke toan
4411,Cao Đẳng Giao Thông Vận Tải 3,cao dang giao thong van tai 3,cao dang giao thong van tai hcm,cơ khí,co khi,co khi
4412,Đại Học Thành Đô,dai hoc thanh do,dai hoc thanh do,Công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
4413,Cao đẳng cộng đồng Cà Mau,cao dang cong dong ca mau,cao dang cong dong ca mau,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
4414,Cao Đẳng Bách Việt,cao dang bach viet,cao dang bach viet,Tài Chính Ngân Hàng,tai chinh ngan hang,tai chinh ngan hang
4415, Đại học Khoa học Xã hội và Nhân văn TP Hồ Chí Minh,dai hoc khoa hoc xa hoi nhan van hcm,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,1,1,1
4416,phổ thông trung học thái hòa - bình dương,pho thong trung hoc thai hoa binh duong,dai hoc thai binh duong,toán học,toan hoc,toan hoc
4417,Học Viện Công Nghệ Bưu Chính Viễn Thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,Marketing,marketing,marketing
4418,ĐH Nông Lâm HCM,dai hoc nong lam hcm,dai hoc nong lam hcm,1,1,1
4419,đại học công nghệ tphcm,dai hoc cong nghe hcm,dai hoc cong nghe hcm,hướng dẫn viên,huong dan vien,huong dan vien
4420,đại học công nghiệp hà nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
4421,ĐH Kinh tế Quốc Dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Tài chính doanh nghiệp / Viện Tài chính Ngân hàng,tai chinh doanh nghiep / vien tai chinh ngan hang,tai chinh ngan hang
4422,hàn thuyên,han thuyen,CannotFound,han thuyen ,han thuyen,han thuyen
4423,trung cấp y dược Phạm Ngọc Thạch,trung cap y duoc pham ngoc thach,CannotFound,Dược ,duoc,hoa duoc
4424,thcs,trung hoc co so,trung hoc co so,vc,vc,vc
4425,trung cấp tin học hà nội estih,trung cap tin hoc ha noi estih,CannotFound,tin học,tin hoc,dia tin hoc
4426,trung cấp tin học hà nôj,trung cap tin hoc ha noj,CannotFound,tin học,tin hoc,dia tin hoc
4427, Học viện khoa học quân sự,hoc vien khoa hoc quan su,hoc vien khoa hoc quan su,Ngôn ngữ Anh,ngon ngu anh,ngon ngu anh
4428,trường tiểu học Tân long,tieu hoc tan long,CannotFound,điện máy,dien may,dien may
4429,Stanford Graduate School of Business,stanford graduate school of business,CannotFound,Executive Development Program,executive development program,executive development program
4430,Ohio Wesleyan University,ohio wesleyan university,ohio wesleyan university,Economics & Management,economics management,quan ly kinh te
4431,The University of Arizona,the university of arizona,the university of arizona,Finance & Entrepreneurship,finance entrepreneurship,finance entrepreneurship
4432,học viện kỹ thuật quân sự ( dân sự ),hoc vien ky thuat quan su,hoc vien ky thuat quan su,chuyên ngành điện tử viễn thông,chuyen nganh dien tu vien thong,chuyen nganh
4433,Lê Thị Hồng Gấm,le thi hong gam,CannotFound,không có,khong co,khong co
4434,Đại Học Điện Lực,dai hoc dien luc,dai hoc dien luc,Kế Toán,ke toan,ke toan
4435,thpt hoàng cầu,trung hoc pho thong hoang cau,trung hoc pho thong hoang cau,ko có,ko co,ko co
4436,Bach Khoa University,bach khoa university,bach khoa university,Chemical Engineering,chemical engineering,ky thuat hoa hoc
4437,quý Đức,quy duc,CannotFound,tài xế,tai xe,tai xe
4438,Cao dang Bach Viet,cao dang bach viet,cao dang bach viet,Kế toán,ke toan,ke toan
4439,Đại học Thương mại,dai hoc thuong mai,dai hoc thuong mai,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
4440,cao đẳng cơ khí luyện kim,cao dang co khi luyen kim,cao dang co khi luyen kim,cơ khí chế tạo,co khi che tao,co khi che tao
4441,CDKT Lý Tự Trọng,cao dang kt ly tu trong,cao dang ly tu trong hcm,Công nghệ kỹ thuật Nhiệt Lạnh,cong nghe ky thuat nhiet lanh,cong nghe ky thuat nhiet
4442,dh Mo tp. hcm,dai hoc mo hcm,dai hoc mo hcm,tai chinh ngan hang,tai chinh ngan hang,tai chinh ngan hang
4443,Đại học khoa học xã hội và nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,Quan hệ quốc tế,quan he quoc te,quan he quoc te
4444,ĐẠI HỌC TÀI CHÍNH - MARKETING,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Chuyên ngành: Kinh doanh thương mại,chuyen nganh: kinh doanh thuong mai,kinh doanh thuong mai
4445,Đại Học Kinh tế-Luật ( ĐH Quốc gia Tp.Hcm),dai hoc kinh te luat,dai hoc kinh te luat dai hoc quoc gia hcm,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
4446,hutech,hutech,CannotFound,xây dựng,xay dung,quan ly xay dung
4447,đại học hồng bàng,dai hoc hong bang,dai hoc quoc te hong bang,kế toán,ke toan,ke toan
4448,dai hoc mo dia chat,dai hoc mo dia chat,dai hoc mo dia chat,trac dia,trac dia,ky thuat trac dia ban do
4449,Đại Học Văn Hiến,dai hoc van hien,dai hoc van hien,Điện tử viễn thông,dien tu vien thong,ky thuat dien tu vien thong
4450,đại học cần thơ,dai hoc can tho,dai hoc can tho,sư phạm vật lí,su pham vat li,su pham vat ly
4451,dh khoa học tự nhiên-dhqg hà nội,dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi,dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi,công nghệ hoá học,cong nghe hoa hoc,cong nghe hoa hoc
4452,khóa ngắn hạn,khoa ngan han,CannotFound,Nhà hàng,nha hang,nha hang
4453,đại học tài chính ngân hàng hà nội,dai hoc tai chinh ngan hang ha noi,dai hoc tai chinh ngan hang ha noi,kế toán ,ke toan,ke toan
4454,trường đại học Ngoại ngữ- Tin học Tp.HCM,dai hoc ngoai ngu tin hoc hcm,dai hoc ngoai ngu tin hoc hcm,Hành chính văn phòng,hanh chinh van phong,hanh chinh van phong
4455,Ly tu trong,ly tu trong,cao dang ly tu trong hcm,cap2,cap2,cap2
4456,đại học công nghệ hutech,dai hoc cong nghe hutech,dai hoc cong nghe hutech,kỹ thuật điện điện tử,ky thuat dien dien tu,ky thuat co dien tu
4457,cao đẳng công nghệ thủ đức,cao dang cong nghe thu duc,cao dang cong nghe thu duc,tiếng Hàn,tieng han,tieng han
4458,ĐH kinh doanh và công nghệ hà nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,quản lý nhà nước,quan ly nha nuoc,quan ly nha nuoc
4459,trường cao đẳng nghề gtvt tw 3,cao dang nghe giao thong van tai tw 3,cao dang nghe giao thong van tai trung uong 2,điện công nghiệp và dân dụng,dien cong nghiep dan dung,dien cong nghiep dan dung
4460,cao đẳng nghề brvt,cao dang nghe brvt,cao dang nghe brvt,điện công nghiệp,dien cong nghiep,dien cong nghiep
4461,trường cao đẳng nghề gtvt tw 3,cao dang nghe giao thong van tai tw 3,cao dang nghe giao thong van tai trung uong 2,điện công nghiệp và dân dụng,dien cong nghiep dan dung,dien cong nghiep dan dung
4462,Đại học Luật Hà Nội,dai hoc luat ha noi,dai hoc luat ha noi,Luật học,luat hoc,luat hoc
4463,đai học sư phạm ky thuật vinh,dai hoc su pham ky thuat vinh,dai hoc su pham ky thuat vinh,công nghê oto,cong nghe oto,cong nghe oto
4464,đại học thương mại,dai hoc thuong mai,dai hoc thuong mai,quản lý nhân sự,quan ly nhan su,quan ly nhan su
4465,truong trung cap viet khoa,trung cap viet khoa,CannotFound,su pham mam non,su pham mam non,su pham mam non
4466,Đại học công nghệ thành phố hồ chí minh,dai hoc cong nghe hcm,dai hoc cong nghe hcm,Dược sỹ,duoc sy,duoc sy
4467,Trường Đại Học Sài Gòn,dai hoc sai gon,dai hoc sai gon,Ngôn ngữ Anh,ngon ngu anh,ngon ngu anh
4468,Đại học Hà Nội,dai hoc ha noi,dai hoc ha noi,Tài chính Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
4469,trung cấp nghề. ,trung cap nghe,CannotFound,bảo vệ thực vật. ,bao ve thuc vat,bao ve thuc vat
4470,ĐH Kinh tế kỹ thuật công nghiệp,dai hoc kinh te ky thuat cong nghiep,dai hoc kinh te ky thuat cong nghiep,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
4471,THCS Nguyễn Thị Định,trung hoc co so nguyen thi dinh,trung hoc co so nguyen thi dinh,không có,khong co,khong co
4472,trường Đh Mở Hà nội,dai hoc mo ha noi,dai hoc mo ha noi,Tiếng anh du lịch,tieng anh du lich,du lich
4473,cao đẳng văn hoá nghệ thuật và du lịch sài gòn,cao dang van hoa nghe thuat du lich sai gon,cao dang van hoa nghe thuat du lich sai gon,quản trị nhà hàng khach sạn,quan tri nha hang khach san,quan tri khach san
4474,Lương Văn Can,luong van can,CannotFound,không,khong,khong
4475,CĐ Tài chính Hải quan,cao dang tai chinh hai quan,cao dang tai chinh hai quan,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
4476,cao đẳng công nghiệp thực phẩm,cao dang cong nghiep thuc pham,cao dang cong nghiep thuc pham,tài chính- ngân hàng,tai chinh ngan hang,tai chinh ngan hang
4477,Đại học Nguyễn tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Dược,duoc,hoa duoc
4478,Học Viện Tài Chính,hoc vien tai chinh,hoc vien tai chinh,Tài chính- Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
4479,Đại học Kinh tế TP.HCM,dai hoc kinh te hcm,dai hoc kinh te hcm,Kế toán,ke toan,ke toan
4480,viện đại học mở hà nội,vien dai hoc mo ha noi,dai hoc mo ha noi,kế toán quản trị kinh doanh,ke toan quan tri kinh doanh,quan tri kinh doanh
4481,trung tâm giáo dục thường xuyên mỹ đức,trung tam giao duc thuong xuyen my duc,CannotFound,kế toán,ke toan,ke toan
4482,Huflit,huflit,CannotFound,PR,pr,pr
4483,Đại học Kinh doanh và công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Kế toán tổng hợp,ke toan tong hop,ke toan
4484,ĐH Kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Thống kê kinh doanh,thong ke kinh doanh,thong ke kinh te
4485,Cao đẳng phát thanh truyền hình,cao dang phat thanh truyen hinh,cao dang phat thanh truyen hinh 2,kế toán,ke toan,ke toan
4486,Đại học Mở Hà Nội,dai hoc mo ha noi,dai hoc mo ha noi,Điện tử viễn thông,dien tu vien thong,ky thuat dien tu vien thong
4487,đại học sư phạm tp hcm,dai hoc su pham hcm,dai hoc su pham hcm,giáo dục thể chất,giao duc the chat,giao duc the chat
4488,cao đẳng đại việt sài gòn,cao dang dai viet sai gon,cao dang dai viet sai gon,ngôn ngữ Nhật,ngon ngu nhat,ngon ngu nhat
4489,Đại Học Công Nghệ Sài Gòn,dai hoc cong nghe sai gon,dai hoc cong nghe sai gon,Kỹ Sư,ky su,ky su
4490,đại học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,marketing thương mại,marketing thuong mai,marketing
4491,đại học Quốc gia thành phố Hồ Chí Minh,dai hoc quoc gia hcm,dai hoc quoc gia hcm,thiết kế đồ hoạ,thiet ke do hoa,thiet ke do hoa
4492,HUBT,hubt,CannotFound,kế toán,ke toan,ke toan
4493,thpt chúc động,trung hoc pho thong chuc dong,trung hoc pho thong chuc dong,thpt,trung hoc pho thong,trung hoc pho thong
4494,trường Cao Đẳng công nghệ và kinh tế công nhiệp,cao dang cong nghe kinh te cong nhiep,cao dang cong nghe kinh te cong nghiep,kế toán doanh nghiệp,ke toan doanh nghiep,ke toan doanh nghiep
4495,đại học Nông Lâm Tp. HCM,dai hoc nong lam hcm,dai hoc nong lam hcm,Quản lý tài nguyên và du lịch sinh thái,quan ly tai nguyen du lich sinh thai,quan ly tai nguyen du lich sinh thai
4496,Lương Văn Can,luong van can,CannotFound,trung học,trung hoc,trung quoc hoc
4497,university of sunderland,university of sunderland,university of sunderland,event management,event management,quan ly cong
4498,cao đẳng FPT jetking,cao dang fpt jetking,cao dang fpt jetking,quản trị an ninh mạng,quan tri an ninh mang,quan tri an ninh mang
4499,Đại học TIỀN GIANG,dai hoc tien giang,dai hoc tien giang,Phát triển Nông thôn,phat trien nong thon,phat trien nong thon
4500,đại học quy nhơn,dai hoc quy nhon,dai hoc quy nhon,kế toán,ke toan,ke toan
4501,thpt tháp mười,trung hoc pho thong thap muoi,trung hoc pho thong thap muoi,tốt nghiệp phổ thông,tot nghiep pho thong,tot nghiep pho thong
4502,đh xây dựng,dai hoc xay dung,dai hoc xay dung ha noi,kiến trúc sư,kien truc su,kien truc
4503,Đại học Kinh doanh và Công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Quản Trị Du lịch,quan tri du lich,quan tri du lich khach san
4504,đại học công nghiệp thực phẩm tp hồ chí minh,dai hoc cong nghiep thuc pham hcm,dai hoc cong nghiep hcm,cơ khí chế tạo máy,co khi che tao may,co khi che tao may
4505,ĐH Phạm Văn Đồng,dai hoc pham van dong,dai hoc pham van dong,CNTT,cong nghe thong tin,cong nghe thong tin
4506,Đại học Ngoại ngữ - Tin học TP Hồ Chí Minh,dai hoc ngoai ngu tin hoc hcm,dai hoc ngoai ngu tin hoc hcm,0,0,0
4507,Trường trung cấp nghề dân tộc nội trú phú thọ,trung cap nghe dan toc noi tru phu tho,CannotFound,Điện,dien,ky thuat dien
4508,Đại học Tài Nguyên Và Môi trường TP Hồ Chí Minh,dai hoc tai nguyen moi truong hcm,dai hoc tai nguyen moi truong hcm,0,0,0
4509,Đại học Ngoại ngữ - Tin học TP Hồ Chí Minh,dai hoc ngoai ngu tin hoc hcm,dai hoc ngoai ngu tin hoc hcm,Tiếng Nhật,tieng nhat,su pham tieng nhat
4510,Trung cấp Y dược Hà Nam,trung cap y duoc ha nam,CannotFound,0,0,0
4511,Trường Đại học Điều dưỡng Nam Định,dai hoc dieu duong nam dinh,dai hoc dieu duong nam dinh,Đại học điều dưỡng Nam Định,dai hoc dieu duong nam dinh,dai hoc dieu duong nam dinh
4512,Đại học Quốc tế Hồng Bàng,dai hoc quoc te hong bang,dai hoc quoc te hong bang,BBA,bba,bba
