,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
2110,Trường THPT Năng khiếu Đại học Tân Tạo,trung hoc pho thong nang khieu dai hoc tan tao,trung hoc pho thong nang khieu dai hoc tan tao,0,0,0
2111,Học Viện Kỹ Thuật Quân Sự (MTA) ,hoc vien ky thuat quan su,hoc vien ky thuat quan su,Xây dựng dân dụng và công nghiệp ,xay dung dan dung cong nghiep,xay dung dan dung cong nghiep
2112,Cao Đẳng Kinh Tế Kỹ Thuật Phú Lâm ,cao dang kinh te ky thuat phu lam,cao dang kinh te ky thuat phu tho,0,0,0
2113,Cao Đẳng Kỹ Thuật Công Nghiệp ,cao dang ky thuat cong nghiep,cao dang ky thuat cong nghiep,0,0,0
2114,trường đại học công nghiệp,dai hoc cong nghiep,dai hoc cong nghiep hcm,công nghệ ô tô,cong nghe o to,cong nghe o to
2115,Cao Đẳng Công Nghiệp Nam Định,cao dang cong nghiep nam dinh,cao dang cong nghiep nam dinh,Kế toán,ke toan,ke toan
2116,Duy Tan University Đà Nẵng,duy tan university da nang,dai hoc duy tan,0,0,0
2117,ĐH Công Nghiệp TPHCM,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Công nghệ thực phẩm ,cong nghe thuc pham,cong nghe thuc pham
2118,Posts and Telecommunications Institute of Technology,posts and telecommunications institute of technology,hoc vien cong nghe buu chinh vien thong,0,0,0
2119,Cao đẳng Bán công Công nghệ và Quản trị doanh nghiệp,cao dang ban cong cong nghe quan tri doanh nghiep,cao dang ban cong cong nghe quan tri doanh nghiep,Ngoại ngữ · ,ngoai ngu,ngoai ngu
2120,Đại học sư phạm nghê thuật trung ương,dai hoc su pham nghe thuat trung uong,dai hoc su pham nghe thuat trung uong,thiết kế thời trang,thiet ke thoi trang,thiet ke thoi trang
2121,Trường cao đẳng Đồng khởi,cao dang dong khoi,cao dang dong khoi,thiết kế thoi trang,thiet ke thoi trang,thiet ke thoi trang
2122,đại học lao động xã hội,dai hoc lao dong xa hoi,dai hoc lao dong xa hoi,quản trị nhân sự,quan tri nhan su,quan tri nhan luc
2123,Học viện Hành Chính Quốc Gia,hoc vien hanh chinh quoc gia,hoc vien hanh chinh quoc gia,Human resource management,human resource management,human resource management
2124,Học viện Hàng không Việt Nam - Vietnam Aviation Academy,hoc vien hang khong viet nam vietnam aviation academy,hoc vien hang khong viet nam,Business Administration,business administration,quan tri kinh doanh
2125, Trường Đại Học Sài Gòn - Sai Gon University,dai hoc sai gon sai gon university,dai hoc sai gon sai gon university,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
2126,ĐH Hà Nội,dai hoc ha noi,dai hoc ha noi,1,1,1
2127,Trường Trung Cấp Đông Dương,trung cap dong duong,CannotFound,Sư Phạm Giáo Dục Mầm Non,su pham giao duc mam non,giao duc mam non
2128,Foreign Trade University,foreign trade university,dai hoc ngoai thuong,Kinh tế đối ngoại,kinh te doi ngoai,kinh te
2129,Trường Cao đẳng Cơ khí Luyện kim ,cao dang co khi luyen kim,cao dang co khi luyen kim,Khoa CNTT,khoa cong nghe thong tin,cong nghe thong tin
2130,Trường Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,1,1,1
2131,Đại Học Tây Đô,dai hoc tay do,dai hoc tay do,Ngôn Ngữ Anh,ngon ngu anh,ngon ngu anh
2132,Đại học Xây dựng ,dai hoc xay dung,dai hoc xay dung ha noi,Công trình thủy ,cong trinh thuy,cong trinh thuy
2133,Đại học Sư phạm Đà Nẵng,dai hoc su pham da nang,dai hoc su pham da nang,Cử nhân Sinh - Môi trường,cu nhan sinh moi truong,cu nhan sinh moi truong
2134,Van Lang University,van lang university,dai hoc van lang,Business Manager,business manager,business manager
2135,đại học sao đỏ,dai hoc sao do,dai hoc sao do,điện-điện tử,dien dien tu,dien dien tu
2136,Đh Văn Lang,dai hoc van lang,dai hoc van lang,1,1,1
2137,Trường Đại học Ngân hàng Thành phố Hồ Chí Minh,dai hoc ngan hang hcm,dai hoc ngan hang hcm,1,1,1
2138,ĐH Bách Khoa,dai hoc bach khoa,dai hoc bach khoa ha noi,1,1,1
2139,ĐH Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,1,1,1
2140,ĐH Sư Phạm HN2,dai hoc su pham ha noi2,dai hoc su pham ha noi,1,1,1
2141,Đại học Lương Thế vinh ,dai hoc luong the vinh,dai hoc luong the vinh,0,0,0
2142,Đại học Lương Thế vinh ,dai hoc luong the vinh,dai hoc luong the vinh,0,0,0
2143,hoa sen,hoa sen,dai hoc hoa sen,cong nghe,cong nghe,cong nghe da giay
2144,HoChiMinh University Industry,hochiminh university industry,hochiminh university industry,1,1,1
2145,Đại học Công Đoàn,dai hoc cong doan,dai hoc cong doan,Xã Hội Học,xa hoi hoc,xa hoi hoc
2146,Đại học Công Đoàn,dai hoc cong doan,dai hoc cong doan,Lý luận Chính trị Nghiệp vụ Công Đoàn,ly luan chinh tri nghiep vu cong doan,ly luan chinh tri nghiep vu cong doan
2147,Đại học Công Đoàn,dai hoc cong doan,dai hoc cong doan,Chứng chỉ Tin học Ứng dụng B,chung chi tin hoc ung dung b,chung chi tin hoc ung dung b
2148,Trung tâm Hướng Nghiệp và Dạy Nghề EC Móng Cái - Quảng Ninh,trung tam huong nghiep day nghe ec mong cai quang ninh,CannotFound,Tiếng trung B,tieng trung b,su pham tieng trung quoc
2149,Đại học sư phạm Hà Nội,dai hoc su pham ha noi,dai hoc su pham ha noi,sư phạm Ngữ văn,su pham ngu van,su pham ngu van
2150,ĐH Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,1,1,1
2151,Đại học Ngoại ngữ - ĐHQGHN,dai hoc ngoai ngu dai hoc quoc gia ha noi,dai hoc ngoai ngu dai hoc quoc gia ha noi,Ngôn ngữ Pháp - du lịch khách sạn,ngon ngu phap du lich khach san,ngon ngu phap
2152,ĐH Thương Mại,dai hoc thuong mai,dai hoc thuong mai,1,1,1
