raw,new,score
THPT Thanh Miện ,thpt thanh mien,52
Nguyễn Thái Bình,nguyen thai binh,69
TRƯỜNG CAO ĐẲNG NGHỀ SÔNG ĐÀ,cao dang nghe song da,16
Trung cấp lao động xã hội,trung cap lao dong xa hoi,74
trung tam giao dược thương xuyen,trung tam giao duoc thuong xuyen,88
DHBK, dai hoc  bach khoa ,0
THPT Trần Quốc Tuấn,thpt tran quoc tuan,47
Trường ĐẠI HỌC BẠC LIÊU,dai hoc bac lieu,15
THPT Chương Mỹ B,thpt chuong my b,38
Liên Kết ĐH Sunderland UK & Đại Học Sư Phạm Kỹ Thuật TPHCM,lien ket  dai hoc  sunderland uk   dai hoc su pham ky thuat hcm,51
Đại học Nông Lâm TP.HCM,dai hoc nong lam  hcm,45
Học Viện Lâm Nghiệp Việt Nam,hoc vien lam nghiep viet nam,61
Đại Học Công Nghệ Sài Gòn - STU,dai hoc cong nghe sai gon   stu,48
Trường Đại học Văn Lang,dai hoc van lang,51
Đại học Ngoại Ngữ - ĐHQG Hà Nội (ULIS-VNU),dai hoc ngoai ngu    dai hoc  quoc gia  ha noi ,36
 Đại học Khoa học Xã hội và Nhân văn,dai hoc khoa hoc xa hoi nhan van,62
Đại học Sư phạm Kỹ thuật,dai hoc su pham ky thuat,62
Đại Học Vinh,dai hoc vinh,58
Đại học Kinh doanh và Công nghệ,dai hoc kinh doanh cong nghe,71
Trường Đại Học Công nghiệp Hà Nội,dai hoc cong nghiep ha noi,51
Southwest Texas State,southwest texas state,86
Đại học Tài nguyên và Môi Trường,dai hoc tai nguyen moi truong,59
Trung học phổ thông Thạnh Hoá,trung hoc pho thong thanh hoa,72
ksbfbflabc,ksbfbflabc,100
đại học nông nghiệp hà nội,dai hoc nong nghiep ha noi,73
Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,66
Đại học Thương Mại,dai hoc thuong mai,56
Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh,dai hoc su pham ky thuat   hcm,46
Đại học Nguyễn Tất Thành,dai hoc nguyen tat thanh,62
CAO ĐẲNG VĂN HÓA NGHỆ THUẬT VÀ DU LỊCH SÀI GÒN,cao dang van hoa nghe thuat du lich sai gon,20
Cao Đẳng Du Lịch Hà Nội,cao dang du lich ha noi,57
Đại học Kinh tế Quốc Dân,dai hoc kinh te quoc dan,62
Đại học Giao Thông Vận Tải,dai hoc giao thong van tai,62
Trường Đại Học Công nghiệp Hà Nội,dai hoc cong nghiep ha noi,51
University of Wales,university of wales,89
University of Portsmouth,university of portsmouth,92
Chu Van An High School,chu van an high school,77
Đại học Công nghệ TP Hồ Chí Minh,dai hoc cong nghe  hcm,52
Đại học Bách Khoa TP.HCM,dai hoc bach khoa  hcm,52
Đại Học Hòa Bình,dai hoc hoa binh,50
Trường đại học công nghiệp thực phẩm tp.hcm,dai hoc cong nghiep thuc pham  hcm,68
THPT Bắc Kiến Xương,thpt bac kien xuong,42
Đại học Giao thông Vận tải,dai hoc giao thong van tai,69
Hanoi University of Business and Technology - HUBT Hà Nội,hanoi university of business and technology   hubt ha noi,77
THPT Nguyễn Hữu Thọ,thpt nguyen huu tho,47
Trường Đại học Lao động - Xã hội,dai hoc lao dong   xa hoi,53
FPT Aptech - Hệ thống đào tạo Lập Trình Viên Quốc Tế,fpt aptech   he thong dao tao lap trinh vien quoc te,60
Hanoi University of Technology,hanoi university of technology,90
Cao Đẳng Giao Thông Vận Tải 3,cao dang giao thong van tai 3,66
đi làm,di lam,67
Hanoi University of Business and Technology - HUBT Hà Nội,hanoi university of business and technology   hubt ha noi,77
Đại học Kinh tế Công nghiệp Long An Tân An,dai hoc kinh te cong nghiep long an tan an,69
Truong Cao Dang Ky Thuat Cao Thang,cao dang ky thuat cao thang,69
Cao Đẳng Sư Phạm Kiên Giang,cao dang su pham kien giang,63
Trường Đại học Khoa học Xã hội và Nhân văn ,dai hoc khoa hoc xa hoi nhan van,56
Đại học Giao thông Vận tải,dai hoc giao thong van tai,69
Đại học Thương Mại,dai hoc thuong mai,56
Trường Đại Học Kinh Tế Quốc Dân Hà Nội,dai hoc kinh te quoc dan ha noi,46
thcs-thpt Hoa Lư,thcs thpt hoa lu,75
trường cấp 3 Nguyễn Trãi Lương Sơn,cap 3 nguyen trai luong son,56
neu,neu,100
đại học công nghiệp hà nội,dai hoc cong nghiep ha noi,73
Đại học Ngoại Thương - Sau đại học,dai hoc ngoai thuong   sau dai hoc,62
cao đẳng nghề LOD,cao dang nghe lod,65
Đại Học Văn Lang,dai hoc van lang,56
Đại học Bách Khoa Hà Nội,dai hoc bach khoa ha noi,58
Đại học Quốc Gia Hà Nội,dai hoc quoc gia ha noi,57
Đại học giao thông vận tải,dai hoc giao thong van tai,77
Đại học Sài Gòn,dai hoc sai gon,53
cao đẳng văn hóa nghệ thuật và du lịch nha trang,cao dang van hoa nghe thuat du lich nha trang,82
FPT Polytechnic,fpt polytechnic,73
HUBT,hubt,0
học viện công nghệ bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,79
khoa kinh tế- đại học quốc gia,khoa kinh te  dai hoc quoc gia,80
đh khoa học xã hội & nhân văn, dai hoc  khoa hoc xa hoi   nhan van,68
Học viện Nông Nghiệp Việt Nam,hoc vien nong nghiep viet nam,66
Đại học Nội Vụ Hà Nội,dai hoc noi vu ha noi,48
Trường đại học Công Nghệ Tp HCM( HUTECH),dai hoc cong nghe  hcm,39
Học viện Tài chính,hoc vien tai chinh,67
Đại học Lao động - Xã hội,dai hoc lao dong   xa hoi,60
Đại học Ngoại Thương,dai hoc ngoai thuong,60
đại học bách khoa,dai hoc bach khoa,76
Cao Đẳng Công Nghệ Thủ Đức,cao dang cong nghe thu duc,58
Học viện Ngân hàng,hoc vien ngan hang,67
Đại học Công Đoàn,dai hoc cong doan,59
Back Khoa University,back khoa university,85
Học viện Ngoại giao,hoc vien ngoai giao,74
hutech,hutech,100
Đại học giao thông vận tải,dai hoc giao thong van tai,77
Đại học Lạc Hồng,dai hoc lac hong,56
truong cao dang su pham kieng giang,cao dang su pham kieng giang,89
cao đẳng sư phạm Đà Lạt,cao dang su pham da lat,65
Học viện ngân hàng,hoc vien ngan hang,72
học viện báo chí,hoc vien bao chi,75
Đại học Bách Khoa Hà Nội - Universite Perre des Mendes de France,dai hoc bach khoa ha noi   universite perre des mendes de france,77
đại học công đoàn,dai hoc cong doan,65
Judical Academy,judical academy,87
Đại học  Hùng Vương,dai hoc hung vuong,54
Trade Union University,trade union university,86
Cao đẳng kinh tế kỹ thuật thương mại,cao dang kinh te ky thuat thuong mai,75
HCM University of Technology & Education,hcm university of technology   education,82
Cao đẳng nghề Đồng Nai ,cao dang nghe dong nai,67
Đại học Đà Lạt,dai hoc da lat,50
truong dh cong nghiep thuc pham tp hcm, dai hoc  cong nghiep thuc pham  hcm,81
Le Quy Đôn,le quy don,60
đại học đồng nai,dai hoc dong nai,69
cao đẳng kinh tế công nghệ,cao dang kinh te cong nghe,81
Trường Đại Học Bách Khoa Hà Nội,dai hoc bach khoa ha noi,47
Trường Quân chính,quan chinh,52
Đại học Công Nghiệp Hà Nội,dai hoc cong nghiep ha noi,58
Học viện Tài Chính,hoc vien tai chinh,61
Đại học Khoa học Tự nhiên- Đại học Quốc gia Hà Nội,dai hoc khoa hoc tu nhien  dai hoc quoc gia ha noi,64
RMIT,rmit,0
trung cap du lich,trung cap du lich,100
Đại học Công Nghệ Kỹ Thuật thành phố Hồ Chí Minh,dai hoc cong nghe ky thuat   hcm,48
Hanoi open university,hanoi open university,95
University of Social Sciences and Humanities,university of social sciences and humanities,91
Cao Đẳng Công Thương,cao dang cong thuong,60
ĐH Kinh tế quốc dân, dai hoc  kinh te quoc dan,58
cao đẳng du lịch hà nội,cao dang du lich ha noi,78
Trường Trung Học Cơ Sở Bình Trị Đông,trung hoc co so binh tri dong,49
Học viện công nghệ bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,77
Trường du lịch và khách sạn Saigontourist,du lich khach san saigontourist,75
Đại học dân lập Đông Đô,dai hoc dan lap dong do,61
Học Viện nông nghiệp Việt Nam,hoc vien nong nghiep viet nam,69
trung cấp giao thông vận tải miền bắc,trung cap giao thong van tai mien bac,84
Đại học Luật Hà Nội,dai hoc luat ha noi,53
Đại học Kinh Tế Kỹ Thuật Công Nghiệp,dai hoc kinh te ky thuat cong nghiep,61
Foreign Trade University HCMC,foreign trade university hcm,77
Cao đẳng Kinh tế Đối ngoại,cao dang kinh te doi ngoai,69
THPT Tân Bình,thpt tan binh,38
Cao Đẳng Công Nghệ Thông Tin,cao dang cong nghe thong tin,64
đại học mỏ địa chất,dai hoc mo dia chat,63
đại học tài chính-marketing,dai hoc tai chinh marketing,78
Trung Cấp Du Lịch và Khách Sạn Saigontourist,trung cap du lich khach san saigontourist,71
Aprotrain Aptech,aprotrain aptech,88
Đại học Dược Hà Nội,dai hoc duoc ha noi,47
hồng bàng,hong bang,78
ĐẠI HỌC KINH TẾ TPHCM,dai hoc kinh te hcm,20
Đại học Kinh doanh và Công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,66
Đại học Kinh Doanh & Công Nghệ Hà Nội,dai hoc kinh doanh   cong nghe ha noi,62
đại học khoa học xã hội & nhân văn,dai hoc khoa hoc xa hoi   nhan van,74
Đại học Kinh tế - Tài chính Tphcm,dai hoc kinh te   tai chinh hcm,69
đại học Phương Đông,dai hoc phuong dong,58
trường đại học lạc hồng,dai hoc lac hong,56
Đại Học Công Nghệ GIao Thông Vận Tải,dai hoc cong nghe giao thong van tai,56
Sư Phạm Kỹ Thuật TPHCM,su pham ky thuat hcm,43
THPT Nguyễn Trãi,thpt nguyen trai,50
Arena Multimedia College,arena multimedia college,88
Đại học Sài Gòn,dai hoc sai gon,53
Đại học Mở TP Hồ Chí Minh,dai hoc mo  hcm,40
đại học bách khoa hà nội,dai hoc bach khoa ha noi,75
Đại học Kinh Tế Quốc Dân,dai hoc kinh te quoc dan,58
Đại học Sư phạm Thái Nguyên,dai hoc su pham thai nguyen,63
Đại Học Y Hà Nội,dai hoc y ha noi,44
THPT Núi Thành,thpt nui thanh,43
Đại học Cần Thơ,dai hoc can tho,53
cao dang KTKH Da nang,cao dang ktkh da nang,76
trung hoc pho thong ke sach ,trung hoc pho thong ke sach,98
Cao đẳng thương mại và du lịch Hà Nội,cao dang thuong mai du lich ha noi,65
Đại học Thương Mại,dai hoc thuong mai,56
Học viện Quản lý giáo dục - NAEM ,hoc vien quan ly giao duc   naem,62
Đại học Khoa học xã hội và Nhân văn - Đại học Quốc Gia TP.HCM,dai hoc khoa hoc xa hoi nhan van   dai hoc quoc gia  hcm,60
​RMIT University Hanoi ,rmit university hanoi,68
Trường ĐH Kinh tế TP. Hồ Chí Minh - UEH, dai hoc  kinh te   hcm   ueh,41
THPT Trần Quốc Tuấn,thpt tran quoc tuan,47
THPT Phạm Ngũ Lão,thpt pham ngu lao,41
Cd gtvt3 + dh công nghệ SG, cao dang  giao thong van tai3 +  dai hoc  cong nghe sg,52
Hanoi University of Technology,hanoi university of technology,90
University of Ulsan,university of ulsan,89
"đại học bạc liêu, đại học bình dương",dai hoc bac lieu  dai hoc binh duong,67
Đại Học Đà Lạt,dai hoc da lat,43
IUH - Trường ĐH Công Nghiệp Tp.HCM,iuh   truong  dai hoc  cong nghiep  hcm,41
Nguyễn Tất Thành,nguyen tat thanh,63
HUTECH - Đại học Công nghệ Tp.HCM ,hutech   dai hoc cong nghe  hcm,46
UMC,umc,0
CAO ĐẲNG CÔNG NGHỆ THỦ ĐỨC,cao dang cong nghe thu duc,19
ELSIS - Sydney,elsis   sydney,50
Can Tho University,can tho university,83
Goa Institute Of Management,goa institute of management,85
đại học Mở Hà Nội,dai hoc mo ha noi,47
Đại Học Hoa Sen,dai hoc hoa sen,60
Đại học Công nghiệp TP Hồ Chí Minh,dai hoc cong nghiep  hcm,55
Đại học kiến trúc Hà Nội ,dai hoc kien truc ha noi,61
Học viện Hàng không Việt Nam - Vietnam Aviation Academy,hoc vien hang khong viet nam   vietnam aviation academy,76
Foreign Trade University ,foreign trade university,86
Eastern International University,eastern international university,91
đại học dân lập đông đô,dai hoc dan lap dong do,61
樹德科技大學,shu de ke ji da xue,0
Đại học Sư phạm Kỹ thuật Hưng Yên,dai hoc su pham ky thuat hung yen,61
Trường Cao Đẳng Bán Công Công Nghệ Và Quản Trị Doanh Nghiệp,cao dang ban cong cong nghe quan tri doanh nghiep,57
THPT Hồng Quang,thpt hong quang,53
Đại học Hồng Bàng,dai hoc hong bang,59
Trường THPT Dân lập Hùng Vương - Bắc Kạn,thpt dan lap hung vuong   bac kan,44
Đại học Ngoại Ngữ- Đại học Quốc Gia Hà Nội,dai hoc ngoai ngu  dai hoc quoc gia ha noi,57
Trung Cấp Kinh Tế Đồng Nai,trung cap kinh te dong nai,65
Đại học Tôn Đức Thắng,dai hoc ton duc thang,57
ĐH Tài chính - marketing, dai hoc  tai chinh   marketing,65
Lunghwa University,lunghwa university,89
Ton Duc Thang University,ton duc thang university,83
Trường Đại học Nguyễn Tất Thành,dai hoc nguyen tat thanh,55
Đại học Khoa học Tự Nhiên- đại học quốc gia Hà Nội,dai hoc khoa hoc tu nhien  dai hoc quoc gia ha noi,64
Cao Đẳng Công Thương,cao dang cong thuong,60
lạng sơn,lang son,75
ĐH Nguyễn Tất Thành, dai hoc  nguyen tat thanh,49
Cao Đẳng Kinh Doanh Công Nghệ Hà Nội,cao dang kinh doanh cong nghe ha noi,64
Học Viện Hàng Không Việt Nam,hoc vien hang khong viet nam,61
Đại Học Ngoại Ngữ,dai hoc ngoai ngu,53
Trường Cao Đẳng Kĩ Thuật Cao Thắng,cao dang ki thuat cao thang,56
Đại học văn hiến,dai hoc van hien,69
Viện Y học cổ truyền Quân đội,vien y hoc co truyen quan doi,66
RMIT University Vietnam,rmit university vietnam,74
Đại học quốc tê Hồ Chí Minh,dai hoc quoc te hcm,52
Đại Học Nội Vụ,dai hoc noi vu,43
Học Viện Nông Nghiệp Việt Nam,hoc vien nong nghiep viet nam,62
 Trường Cao đẳng Y tế Phú Thọ,cao dang y te phu tho,48
THPT Kim Xuyên-Sơn Dương,thpt kim xuyen son duong,46
Đại học Công nghiệp Thực phẩm TP.HCM Sinh viên,dai hoc cong nghiep thuc pham  hcm sinh vien,64
Học Viện Kỹ Thuật Quân Sự (MTA) ·,hoc vien ky thuat quan su ,47
THPT Nguyễn Thái Bình,thpt nguyen thai binh,52
Đại học Bách Khoa TPHCM,dai hoc bach khoa hcm,55
THPT Tan Phu,thpt tan phu,50
Đại Học Kinh Tế Hồ Chí Minh,dai hoc kinh te hcm,43
THPT Nguyễn Trãi ,thpt nguyen trai,48
 Trường Đại học Tôn Đức Thắng ,dai hoc ton duc thang,47
Foreign Trade University,foreign trade university,88
HUTECH - Đại học Công nghệ Tp.HCM,hutech   dai hoc cong nghe  hcm,44
Cao đẳng sư phạm Thái nguyên,cao dang su pham thai nguyen,71
Trường Cao đẳng Văn hóa Nghệ thuật Hà Nội ,cao dang van hoa nghe thuat ha noi,55
National istiduce of education and management,national istiduce of education and management,98
Trường Quân sự Bộ Tư lệnh Thành phố Hồ Chí Minh,quan su bo tu lenh   hcm,39
Đại học kinh doanh và công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,71
Đại học Ngoại Thương Hà Nội,dai hoc ngoai thuong ha noi,56
Đại học Văn Lang,dai hoc van lang,62
Đại Học Ngoại Ngữ Tin Học (HUFLIT),dai hoc ngoai ngu tin hoc ,50
Trường Đại học Thương Mại,dai hoc thuong mai,47
ĐẠI HỌC TÀI CHÍNH - MARKETING,dai hoc tai chinh   marketing,17
Học Viện Ngân Hàng,hoc vien ngan hang,56
đại học sư phạm thành phố Hồ Chí Minh,dai hoc su pham   hcm,48
ĐH Khoa Học Tự Nhiên, dai hoc  khoa hoc tu nhien,47
Đại học Mỏ Địa chất Hà Nội,dai hoc mo dia chat ha noi,54
trương tc kinh tế kĩ thuật dak lak,tc kinh te ki thuat dak lak,79
Đại học Thương Mại,dai hoc thuong mai,56
thpt phạm công bình,thpt pham cong binh,84
Đại Học Luật Huế,dai hoc luat hue,50
Hanoi University of Science and Technology,hanoi university of science and technology,90
trường cao đẳng công thương TPHCM,cao dang cong thuong hcm,56
trường đại học quốc tế -đại học quốc gia,dai hoc quoc te  dai hoc quoc gia,65
Đại Học Quốc Tế-Đại Học Quốc Gia Tp Hồ Chí Minh,dai hoc quoc te dai hoc quoc gia  hcm,45
Truong trung cap Phuong Nam,trung cap phuong nam,77
Posts and Telecommunications Institute of Technology,posts and telecommunications institute of technology,92
đại học csnd hồ chí minh,dai hoc canh sat nhan dan hcm,49
Đại học Tài chính Marketing,dai hoc tai chinh marketing,74
Đại học Sư phạm kỹ thuật TPHCM,dai hoc su pham ky thuat hcm,59
Dhdl Van Lang, dai hoc dl van lang,61
học viện công nghệ bưu chính viễn thông TP.HCM,hoc vien cong nghe buu chinh vien thong  hcm,71
Đại học sư phạm kỹ thuật TpHCM,dai hoc su pham ky thuat hcm,62
Trường PTTH Bán Công Chuyên Ngoại Ngữ,ptth ban cong chuyen ngoai ngu,48
"nhà hang hai lua , cty anh duong Việt Nam! ",nha hang hai lua   cty anh duong viet nam!,87
cao đẳng xây dụng,cao dang xay dung,76
Đại học Nội vụ Hà Nội,dai hoc noi vu ha noi,52
Đại học Khoa học Xã hội và Nhân văn,dai hoc khoa hoc xa hoi nhan van,63
Đại học Luật Tp. Hồ Chí Minh,dai hoc luat   hcm,48
Đại học Sư phạm TP HCM,dai hoc su pham  hcm,62
Học viện ngân hàng,hoc vien ngan hang,72
Trường Đại học kinh tế kỹ thuật công nghiệp hà nội,dai hoc kinh te ky thuat cong nghiep ha noi,71
đại học sư phạm tphcm,dai hoc su pham hcm,70
cao đẳng kinh tế kỹ thuật phú lâm,cao dang kinh te ky thuat phu lam,79
Học viện Tài chính,hoc vien tai chinh,67
ngân hàng,ngan hang,78
Đại học FPT,dai hoc fpt,45
tôt nghiệp câp 3,tot nghiep cap 3,81
Đại học Công Đoàn,dai hoc cong doan,59
học viện ngân hàng,hoc vien ngan hang,78
đại học công nghiệp hà nội,dai hoc cong nghiep ha noi,73
Ton Duc Thang University,ton duc thang university,83
Raffles Business Institute,raffles business institute,88
Đại học khoa học xã hội & nhân văn,dai hoc khoa hoc xa hoi   nhan van,74
ĐẠI HỌC KINH TẾ TÀI CHÍNH ,dai hoc kinh te tai chinh,20
Đại học kinh doanh và công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,71
Đại học Lao động - Xã hội,dai hoc lao dong   xa hoi,60
iuh,iuh,100
THPT Nguyễn Trung Trực,thpt nguyen trung truc,59
trường đại học hutech,dai hoc hutech,63
Hutech University,hutech university,88
Học viện Quản lý Giáo dục,hoc vien quan ly giao duc,64
trường dh mở, dai hoc  mo,42
THPT Tây Thạnh,thpt tay thanh,43
Cao đẳng nghề Du lịch Sài Gòn,cao dang nghe du lich sai gon,66
Đại học Lao động - Xã hội,dai hoc lao dong   xa hoi,60
Cao đẳng Du lịch nghề Sài Gòn,cao dang du lich nghe sai gon,66
Đại học Tiền Giang,dai hoc tien giang,67
THPT Trần Khai Nguyên,thpt tran khai nguyen,57
Đại học sư phạm TP Hồ Chí Minh,dai hoc su pham  hcm,52
TRƯỜNG ĐH CN HÀ NỘI, dai hoc  cong nghe ha noi,18
ĐẠI HỌC BÁCH KHOA HÀ NỘI,dai hoc bach khoa ha noi,21
THPT Hồng Hà,thpt hong ha,33
THPT Ông Ích Khiêm,thpt ong ich khiem,56
vũ đình liệu,vu dinh lieu,67
Đại học Tài chính - Marketing,dai hoc tai chinh   marketing,72
Đại học Công nghệ TP Hồ Chí Minh,dai hoc cong nghe  hcm,52
trường đại học khoa học xã hội và nhân văn,dai hoc khoa hoc xa hoi nhan van,65
THPT Đinh Chương Dương,thpt dinh chuong duong,50
THPT Thọ Xuân 4,thpt tho xuan 4,47
THPT Thái Nguyên,thpt thai nguyen,50
Đại Học Bách Khoa Đà Nẵng,dai hoc bach khoa da nang,56
Cao đẳng Sư Phạm Hà Nội,cao dang su pham ha noi,52
Đại Học Công Nghiệp Hà Nội (HaUI),dai hoc cong nghiep ha noi ,50
Trường Cao đẳng nghề Việt - Đức Hà Tĩnh,cao dang nghe viet   duc ha tinh,54
THPT BÁN CÔNG ĐỐNG ĐA,thpt ban cong dong da,19
Trường Đại học Kinh tế tp. Hồ Chí Minh,dai hoc kinh te   hcm,47
Trường Đại Học Khoa Học Tự Nhiên,dai hoc khoa hoc tu nhien,49
Đại học Bách Khoa Hà Nội,dai hoc bach khoa ha noi,58
 FTMS Global,ftms global,52
Truong day nghề  Quận 10 tphcm,day nghe quan 10 hcm,68
UH - ĐH Công Nghiệp TP.HCM,uh    dai hoc  cong nghiep  hcm,39
Đại Học Thương Mại,dai hoc thuong mai,50
Đại học Thương Mại,dai hoc thuong mai,56
trung cấp estih,trung cap estih,93
đại học giao thông vận tải,dai hoc giao thong van tai,77
trường đại học ngoại ngữ hải phòng,dai hoc ngoai ngu hai phong,66
Đại học Công nghiệp Thực phẩm Tp.HCM,dai hoc cong nghiep thuc pham  hcm,60
Trường Đại học Lao động - Xã hội,dai hoc lao dong   xa hoi,53
Trường Đại học Xây dựng,dai hoc xay dung,51
Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,66
Đại học Điện Lực Hà Nội,dai hoc dien luc ha noi,52
Cao Đẳng Kinh Tế Đối Ngoại TP.HCM,cao dang kinh te doi ngoai  hcm,53
Namdinh University of Technology Education,namdinh university of technology education,90
Đại học Kinh Tế-Kỹ thuật Công nghiệp ( UNETI),dai hoc kinh te ky thuat cong nghiep ,59
Hanoi University of Science and Technology,hanoi university of science and technology,90
đại nam university,dai nam university,89
Đại học Tôn Đức Thắng,dai hoc ton duc thang,57
thpt cờ đỏ,thpt co do,70
Đại Học Công Nghệ Sài Gòn,dai hoc cong nghe sai gon,52
Đại học Kinh tế kỹ thuật Công nghiệp ,dai hoc kinh te ky thuat cong nghiep,71
học viện bưu chính viễn thông,hoc vien buu chinh vien thong,79
Đại Học Dân Lập Phương Đông Hà Nội,dai hoc dan lap phuong dong ha noi,50
đại học lạc hồng ,dai hoc lac hong,67
Trường THPT Võ Thị Sáu,thpt vo thi sau,27
Trường THPT Võ Thị Sáu,thpt vo thi sau,27
THPT Nam Ky Khoi Nghia ,thpt nam ky khoi nghia,62
THPT Nam Ky Khoi Nghia ,thpt nam ky khoi nghia,62
ITC,itc,0
Đại học Sư phạm Hà Nội,dai hoc su pham ha noi,55
Đại học Công nghệ Tp HCM,dai hoc cong nghe  hcm,57
Trường Trung Cấp Kỹ thuật Nông nghiệp Tp HCM,trung cap ky thuat nong nghiep  hcm,58
Trường Trung Cấp Kỹ thuật Nông nghiệp Tp HCM,trung cap ky thuat nong nghiep  hcm,58
ĐHKH HUẾ, dai hoc kh hue,9
kinh Tế Quốc Dân,kinh te quoc dan,62
kinh tế Quốc Dân Hà Nội,kinh te quoc dan ha noi,61
THPT Nguyễn Chí Thanh,thpt nguyen chi thanh,57
Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,67
Trường đại học kỹ thuật y dược Đà Nẵng,dai hoc ky thuat y duoc da nang,62
Đại học Nguyễn Tất Thành,dai hoc nguyen tat thanh,62
Cao đẳng Kinh Tế Đối Ngoại,cao dang kinh te doi ngoai,62
Đại Học Trà Vinh,dai hoc tra vinh,56
Đại Học Trà Vinh,dai hoc tra vinh,56
Đại Học Ngoại Thương cơ sở 2 Thành phố Hồ chí minh,dai hoc ngoai thuong co so 2   hcm,52
Cao đẳng du lịch Sài Gòn,cao dang du lich sai gon,67
Open University Malaysia,open university malaysia,88
Đại Học Bách Khoa TP Hồ Chí Minh,dai hoc bach khoa  hcm,48
Đại Học Công Nghệ TPHCM,dai hoc cong nghe hcm,45
Đại Học Bách Khoa TP Hồ Chí Minh,dai hoc bach khoa  hcm,48
Đại Học Thành Đô,dai hoc thanh do,50
Đại học Hoa Sen,dai hoc hoa sen,67
ĐH Ngoại Ngữ và Tin Học, dai hoc  ngoai ngu tin hoc,44
toi da hoc va lam viec tai truong cong nhan ky thuat Bach Dang .Hai Phong,toi da hoc lam viec tai truong cong nhan ky thuat bach dang  hai phong,91
Đại Học Ngoại Thương,dai hoc ngoai thuong,55
Đại học Ngân Hàng,dai hoc ngan hang,59
Đại Học Bách Khoa TP HCM,dai hoc bach khoa  hcm,52
đại học công nghiệp thực phẩm,dai hoc cong nghiep thuc pham,76
Trường Đại Học Kinh Tế TP Hồ Chí Minh,dai hoc kinh te  hcm,39
Đại Học Công Nghiệp TP HCM,dai hoc cong nghiep  hcm,52
Trường Đại học Khoa học Xã hội & Nhân văn ,dai hoc khoa hoc xa hoi   nhan van,58
Đại Học Mêkong,dai hoc mekong,57
Đại Học Bình Dương,dai hoc binh duong,50
Đại học Khoa Học Xã Hội Và Nhân Văn HCM,dai hoc khoa hoc xa hoi nhan van hcm,51
ĐH Mở HN, dai hoc  mo ha noi,15
Đh Nông Lâm Tp.Hcm, dai hoc  nong lam  hcm,44
Học Viện Quan Hệ Quốc Tế - IIR (Học Viện Ngoại Giao - DAV),hoc vien quan he quoc te    2 r ,42
Đại học Mở Thành phố Hồ Chí Minh,dai hoc mo   hcm,38
Đại học Mở Thành phố Hồ Chí Minh,dai hoc mo   hcm,38
Trường Đại học Công nghiệp TP HCM,dai hoc cong nghiep  hcm,53
ĐH Nguyễn Tất Thành, dai hoc  nguyen tat thanh,49
cao đẳng y tế đồng nai,cao dang y te dong nai,77
Đại Học Trưng Vương,dai hoc trung vuong,53
 Trường Cao đẳng Kinh tế Kỹ thuật Thương mại,cao dang kinh te ky thuat thuong mai,60
Đại học Tôn Đức Thắng,dai hoc ton duc thang,57
Trường Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,58
Đại học Mở Thành phố Hồ Chí Minh,dai hoc mo   hcm,38
ĐH Tài Nguyên Môi Trường, dai hoc  tai nguyen moi truong,47
C Đ kinh tế kỹ thuật,c d kinh te ky thuat,75
San Jose City College,san jose city college,81
Đại Học Sân Khấu - Điện Ảnh Hà Nội,dai hoc san khau   dien anh ha noi,53
Đại học Thương Mại Hà Nội,dai hoc thuong mai ha noi,52
Đại học Ngân Hàng TP HCM,dai hoc ngan hang  hcm,52
Đại học Khoa Học Tự Nhiên (ĐHQGHN),dai hoc khoa hoc tu nhien ,53
Đại học Sư phạm kỹ thuật Tp HCM,dai hoc su pham ky thuat  hcm,60
Trung cấp sư phạm mẫu giáo nhà trẻ Hà Nội,trung cap su pham mau giao nha tre ha noi,71
Đại học Kinh tế Tài chính TP HCM,dai hoc kinh te tai chinh  hcm,61
ĐH Bách Khoa HN, dai hoc  bach khoa ha noi,39
Đại học Y Dược TP HCM,dai hoc y duoc  hcm,45
Cao Đẳng nghề công nghệ cao Hà Nội,cao dang nghe cong nghe cao ha noi,71
Cao Đẳng nghề công nghệ cao Hà Nội,cao dang nghe cong nghe cao ha noi,71
Trường đại học sư phạm Hà Nội,dai hoc su pham ha noi,51
Trung cấp Kinh Tế - Bộ công nghiệp,trung cap kinh te   bo cong nghiep,71
Đại học Tài Chính - Marketing,dai hoc tai chinh   marketing,69
cao đẳng công nghệ bắc hà,cao dang cong nghe bac ha,76
THPT NGUYỄN TRUNG TRỰC,thpt nguyen trung truc,13
cao đẳng sư phạm kỹ thuật,cao dang su pham ky thuat,76
Đại Học Trưng Vương,dai hoc trung vuong,53
đại học Tài Chính-Marketing,dai hoc tai chinh marketing,67
ĐH Nguyễn Tất Thành, dai hoc  nguyen tat thanh,50
nghiệp vụ nhà hàng tphcm,nghiep vu nha hang hcm,78
