raw,new,score
Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,69
Vietnam National University,vietnam national university,89
Đại học khoa học xã hội và nhân văn,dai hoc khoa hoc xa hoi nhan van,72
Natinal Economics University,natinal economics university,89
Đại học Hà Nội,dai hoc ha noi,50
đại học hải phòng,dai hoc hai phong,71
National Economics University,national economics university,90
Học Viện Ngoại Giao,hoc vien ngoai giao,68
đại học công nghệ thông tin - đại học quốc gia tphcm,dai hoc cong nghe thong tin   dai hoc quoc gia hcm,76
trường Đại học Thương mại,dai hoc thuong mai,51
Trường Đại học Thương mại,dai hoc thuong mai,51
Đại học Ngoại thương,dai hoc ngoai thuong,65
Cao Đẳng Nghề Công Nghiệp Hà Nội,cao dang nghe cong nghiep ha noi,59
Đại học kinh tế tp hcm,dai hoc kinh te  hcm,76
Trường Đại học Cần Thơ,dai hoc can tho,43
Đại học kinh tế tài chính,dai hoc kinh te tai chinh,76
Cao đẳng kinh tế đối ngoại,cao dang kinh te doi ngoai,73
Học viện công nghệ bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,77
ĐH Ngoại Thương, dai hoc  ngoai thuong,43
Học viện công nghệ bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,77
Ten lơ Man,ten lo man,70
Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,55
Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,55
Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,55
Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,55
Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,55
Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,55
Đại học Văn hoá Hà Nội,dai hoc van hoa ha noi,55
Cao Đẳng Kỹ Thuật Cao Thắng,cao dang ky thuat cao thang,63
Trường đại học kinh tế quốc dân,dai hoc kinh te quoc dan,65
huhhh,huhhh,100
báhhsh,bahhsh,83
Đại học Nguyễn Tất Thành,dai hoc nguyen tat thanh,62
Học viện công nghệ bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,77
Sài Gòn University,sai gon university,72
Công Nghiệp 4,cong nghiep 4,69
Công Nghiệp 4,cong nghiep 4,69
Trường Cao đẳng Kinh tế Đối Ngoại,cao dang kinh te doi ngoai,58
Đại học Hà Nội,dai hoc ha noi,50
xxs,xxs,100
hutech,hutech,100
Đại học Xã hội và Nhân văn,dai hoc xa hoi nhan van,63
Đại học Ngoại Ngữ,dai hoc ngoai ngu,59
Đại học Khoa học Xã hội và Nhân văn,dai hoc khoa hoc xa hoi nhan van,63
Đại học Thương Mại,dai hoc thuong mai,56
thang long,thang long,100
Trường Đại học Thủ Dầu Một,dai hoc thu dau mot,44
DH Khoa học Tự nhiên, dai hoc  khoa hoc tu nhien,55
Đại học kinh doanh và công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,71
đại học Tài Chính Marketing,dai hoc tai chinh marketing,70
Đại học Kinh doanh và Công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,66
Cao Đẳng Du Lịch Hà Nội,cao dang du lich ha noi,57
THCS Trần Đăng NInh,thcs tran dang ninh,47
fpt-arena,fpt arena,89
fpt-arena,fpt arena,89
Bach Khoa University,bach khoa university,85
Học viện tài chính,hoc vien tai chinh,72
Học viện tài chính,hoc vien tai chinh,72
