school_name,specialization
"Đại học Ngân Hàng TP.HCM","Tài chính -Ngân hàng"
"CĐ Công thương TP.HCM","Tài chính - Ngân hàng"
"Trường cao đẳng kinh tế - kỹ thuật Vinatex Tp HCM","Kế Toán"
"ĐH Thương Mại","Quản trị nhân lực"
"Trung Tâm Giáo Dục Thường Xuyên Quận 3",0
"Đại học Công nghiệp TP. Hồ Chí Minh",0
"Trường Đại học Lao động - Xã hội",0
"cao đẳng kinh tế kế hoạch Đà Nẵng","Kế toán doanh nghiệp"
"Đại Học Kinh Tế Huế",0
"ĐH Kinh Tế TP.HCM","Tài Chính"
HUFLIT,"Công nghệ phần mềm"
"Đại học Kinh tế thành phố Hồ Chí Minh",0
"Trường THPT Triệu Sơn 4",0
"THPT Marie Curie",0
"University of Economics Ho Chi Minh City",Economics
"Harvard Business School","CORe Program"
"Cao đẳng KTCN VẠN XUÂN","Hướng dẫn viên"
"Coursera - University of London & London Business School","Managing the Company of the Future"
"Van Lang University",0
"Đại Học Dân Lập Phương Đông"," Quản trị kinh doanh"
"Đại Học Dân Lập Phương Đông"," Quản trị kinh doanh"
"THPT Lê Quý Đôn",0
"Trường cao đẳng công nghiệp huế","công nghệ kĩ thuật môi trường"
"truong trung cao dang nghe giao thong van tai thanh hoa","lai xe"
"Đại Học Mở Hà Nội.","Tài chính-Ngân hàng."
"Đại Học Mở Hà Nội.","Tài chính-Ngân hàng."
"Đại Học Mở Hà Nội.","Tài chính-Ngân hàng."
"trường dạy nghề  Nguyễn Tất Thành TPHCM","trung cấp kế toán"
"trung cấp nghề","máy tính tin học"
"Học viện hàng không Việt Nam","Quản trị kinh doanh"
"Trường Đại học Chu Văn An","Luật kinh tế hành chính"
"trường đại học Mở Tp.Hcm","tài chính ngân hàng"
"Trường đại học Y tế công cộng","Truyền thông giáo dục sức khoẻ"
"Thiết Kế đồ Họa","Trường Trung Cấp Nghề Kỹ Thuật Công Nghệ Hùng Vương"
"đại học thủ đô hà nội","trung cấp mầm non"
"Đại Học Quốc Tế Hồng bàng","Quản trị kinh doanh "
"Trường Cao đẳng Kinh tế Kỹ thuật Thái Nguyên",0
"Trường Đại học Thăng Long","Ngôn ngữ anh"
"Trường THPT Lương Thế VInh",0
"Đại học Văn Lang","Quan hệ công chúng và truyền thông"
"Đại học Nha Trang",0
"Trường THPT Trần Phú - Kim Long - Châu Đức - BRVT ",0
"Cao đẳng Nghệ thuật Hà Nội",0
"Trường Đại Học Khoa Học Tự Nhiên",0
"Đại học SPKT Hưng Yên",0
"Đại Học Văn Hóa TP.HCM","Chuyên ngành : Quản trị dịch vụ và lữ hành"
"Đại học Thủ Dầu một",0
"Đại học Thủ Dầu một",0
"Trường THPT Thủ Đức",0
"THPT Trần Quốc Toản",0
"Trường Cao Đẳng Nghề","Tự Động hoá"
"Trường Đại Học Khoa Học Xã Hội Thành phố Hồ Chí Minh","Báo chí và Truyền thông"
"THPT Nguyễn Trung Trực",0
"THPT Nguyễn Trung Trực",0
"Trường THPT Định Quán",0
"trung cấp quân y -học viện quân t","đại học đại nam chuyên nghành dược sĩ "
"Trường Đại Học Mỏ-Địa Chất","Công Nghệ Kỹ Thuật Hóa Học"
"Đại học Công Nghiệp Hà Nội","Điện "
"Trường THCS Hồng Bàng",0
"Trường Đại Học Mỏ - Địa Chất","Công Nghệ Thông Tin"
"thcs nguyễn du","học thcs"
"Đại học Điện Lực ","Kế toán"
"University of Greenwich",0
"University of Economics and Business",0
"Ho Chi Minh City University of Transport","Công nghệ thông tin"
"Đại học Quy Nhơn ","Economics "
"University of Hawaii at Monoa",0
"Học viện Công nghệ Bưu chính Viễn  thông",0
"Diplomatic Academy of Vietnam","Français des Relations internationales "
"Đại học Tôn Đức Thắng",0
"Cao Đẳng Kỹ Thuật Cao Thắng ",0
"Fpt Arena Multimedia Vietnam  ·","Graphic Design"
"Trường Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội",0
"Đại học Nha Trang",0
"đại học mỏ địa chất","Địa chất thủy văn"
"cao dang y te thai nguyen","dieu duong da khoa"
"Trường Cao Đẳng Công Nghiệp Hưng Yên",Điện
"Trường Đại Học An Giang","Quản trị kinh doanh"
"Trường THPT Trần Biên - Đồng Nai",0
"Trường THPT Trần Biên - Đồng Nai",0
"cao đẳng y te thái nguyên","điều dưỡng đa khoa"
"THPT CUMGAR",STUDENT
"Trường Đại học Kinh tế - Luật",Luật
"cao đẳng nghề đồng khởi","công nghệ ôtô"
"cao đẳng nghề đồng khởi","công nghệ ôtô"
"Đại Học Kinh Doanh Và Công Nghệ Hà Nội - HUBT",0
"Cao đẳng kỹ thuật Lý Tự Trọng",0
"Học viện Tư Pháp","lớp đào tạo nghề Luật sư"
"Trường Đại học Luật tp. Hồ Chí Minh","Luật học"
"Hanoi University of Technology",0
"Trường Đại học Tài chính","Marketing Management"
"Trường Đại học Tài chính","Marketing Management"
"Đại học Kinh tế Quốc dân Hà Nội",0
"Đại học Kinh tế Quốc dân Hà Nội",0
"Trường THPT Bỉm Sơn",0
"Đại học Kiến Trúc Hà Nội",0
"Đại học Kiến Trúc Hà Nội",0
"Đại học Bách Khoa TP.HCM",0
"Tốt nghiệp 12/12","Ngôn Ngữ Nhật"
"FPT University",0
"ttgdtx a ý yên",thpt
"ttgdtx a ý yên",thpt
"ttgdtx a ý yên",thpt
"ttgdtx a ý yên",thpt
"ĐH Khoa Học Tự Nhiên TPHCM","Hóa Polymer và Composite"
"Đại học Công nghệ Sài Gòn","Công Nghệ Thông Tin"
"Trường trung cấp y dược Mêkong","Y sĩ đa khoa định hướng chuyên khoa Y học cổ truyền"
"Công nghệ Tphcm (Hutech)","Quản trị kinh doanh"
"THPT Nguyễn Thượng Hiền",ko
"THPT Nguyễn Thượng Hiền",ko
"THPT Nguyễn Thượng Hiền",ko
"THPT Nguyễn Thượng Hiền",ko
"THPT Nguyễn Thượng Hiền",ko
"THPT Nguyễn Thượng Hiền",ko
"Đại học Công Nghiệp","Tài chính ngân hàng"
"Đại học kinh tế","Chứng chỉ kế toán trưởng"
"ĐẠI HỌC TÀI CHÍNH MARKETING TPHCM","Tài chính ngân hàng"
"TRUNG TÂM KINH TẾ TOÀN CẦU ĐẠI HỌC KINH TẾ TPHCM","Chuyên viên xuất nhập khẩu-hải quan"
"trường Đại Học Bách Khoa Đà Nẵng","Công Nghệ Môi Trường"
"Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội","Kỹ thuật Địa chất"
"Trường Nguyễn Huệ","tiểu học và trung học"
"Trường Đại Học Nguyễn Tất Thành","Tài Chính- Ngân Hàng"
"Học Viện Tài Chính","Kế toán"
"Cao đẳng Cộng Đồng Hà Nội","Kế Toán"
"Viện Đại học Mở Hà Nội","Ngôn ngữ Anh"
"đại học sư phạm kỹ thuật hưng yên","điện tử công nghiệp"
"Đại học Kinh tế Quốc dân","Quản trị Kinh doanh Công nghiệp "
"Trường ĐH Giao Thông Vân Tải TP.HCM","Cơ Khí Ô Tô"
"Đại Học Công Nghiệp Hà Nội","Kế Toán"
" Đại học trực tuyến FUNiX","Software Engineering "
"Đại học Hàng Hải","Chuyên ngành Kinh Tế Vận Tải Biển ( Economics of Sea Transport )"
"Trung học phổ thông B Phủ Lý",0
"Đại học Công Đoàn","Quản trị Nhân lực"
"THPT Hòa Đa","Khoa học máy tính"
"Đại học Tôn Đức Thắng","Khoa học máy tính"
"ĐH Công Nghiệp TPHCM",0
" Đại Học Thương Mại",0
"Đại học thương mại","Kế Toán"
"Học viện Thanh thiếu niên Việt Nam",0
"Trường Đại học Khoa học Xã hội và Nhân văn ",0
"Trường Đại học Khoa học Xã hội và Nhân văn ",0
" THPT Chuyên Thái Nguyên",0
"Đại học Xây Dựng","Civil Engineering + Information Technology"
"Trường Đại học Nội vụ Hà Nội ",0
" THPT Nam Sách",0
"Cao Đẳng Văn Hoá Nghệ Thuật TP.HCM",0
"Kent International College","Marketing Management"
"Saxion Hogeschool","İnternational Business"
"Trường cao đẳng sư phạm Kontum ",0
"THPT trung tâm giáo dục thường xuyên Kon Tum ",0
"Cao đẳng Kinh tế - Công nghệ Tp.HCM","Quản trị văn phòng"
"Hanoi University of Science , VNU","Faculty of Mathematics Mechanics Informatics"
"Moscow State University of Economics, Statistics, and Informatics","Informatics Applications in Economics"
"Plekhanov Russian University of Economics","Informatics Applications in Management"
"Học viện Cảnh sát nhân dân Việt Nam ","Luật "
"Đại Học Sư Phạm Kỹ Thuật Tp HCM","công nghệ kỹ thuật điện, điện tử"
"Cao đẳng kỹ thuật Cao Thắng","Tự động hoá"
"Đại học công nghệ TPHCM ( Hutech)","Điện công nghiệp"
"Trường Đại học Công nghiệp Hà Nội","Công nghệ kỹ thuật ô tô"
"ĐẠI HỌC NGOẠI THƯƠNG",0
"Đại học Tài Chính ",Marketing
"Trường THPT Hà Huy Tập - Hà Tĩnh",0
"Hanoi Architectural University ",0
"Trường THPT Phan Thanh Giản",0
"Trường THPT Phan Thanh Giản",0
"Thang Long University","Social work"
"Đại học Cần Thơ","kinh tế ngoại thương"
"Đại học Hà Nội",0
"Đại học Kinh tế Quốc dân","Quản trị kinh doanh tổng hợp"
"Học Viện Công Nghệ Bưu Chính Viễn Thông",0
"Banking University HCMC"," Business Administration "
"Trường cao đẳng kinh tế- kỹ thuật Thành Phố Hồ Chí Minh","Công nghệ may & Thiết kế thời trang"
"trường đại học Công Nghiệp Tp.Hcm","Tài chính ngân hàng"
"ĐH Công Nghiệp TP HCM","Quản trị kinh doanh"
"thcs tt trâu qùy",...
"trung hoc co so thuan hoa",nhieu
"trung hoc co so thuan hoa",nhieu
"trung hoc co so thuan hoa",nhieu
"Trường Đại học Công Nghiệp Thực Phẩm Tp.HCM","Thủy Sản"
"THCS PHÚ ĐÔNG","sửa phần mềm máy tính"
"THCS PHÚ ĐÔNG","sửa phần mềm máy tính"
"Đại học sư phạm kỹ thuật TP HCM","Công nghệ kỹ thuật nhiệt"
"Đại học giao thông vận tải Hà Nội","Kỹ thuật viễn thông"
"đào tạo bếp vàng","đồ uống"
"Học viện Công nghệ Bưu chính Viễn thông","Quản trị kinh doanh"
"cao đẳng giao thông vận tải","xây dựng"
"Truờng ĐH Sư Phạm Kỹ Thuật TP. Hồ Chí Minh","Cơ Điện Tử"
"Asia E University","Công nghệ thông tin"
"đại học Nông Lâm TP.HCM","Quản lý đất đai và bđs"
"Cao Đẳng nghề Du lịch Sài Gòn","Quản trị lữ hành"
"trung cấp pccc","phòng cháy chữa cháy"
"Cao đẳng công nghệ Viettronic","Công nghệ kỹ thuật điều khiển và tự động hoá"
"Cao đẳng công nghệ Viettronic","Điện công nghiệp và dân dụng"
"tiếng hàn sejong","tiếng hàn"
"trường đại học kinh tế kỹ thuật công nghiệp","tài chính ngân hàng"
THPT,THPT
"Hanoi Open University","Hospitality Management"
"ĐẠI HỌC TÀI CHÍNH MARKETING","Tài chính doanh nghiệp"
"Trường Trung Học Cơ sở Tri Phú_Chiêm Hóa_Tuyên Quang","Học Sinh"
"Trường Đại học Giao Thông Vận Tải","Kinh tế"
Kent,"Thiết kế đồ hoạ"
"trường thpt triệu phong","nghệ thuật"
"THPT trung văn","thpt trung văn"
"Trường đại học Uef","Quản trị kinh doanh"
"Trường Tiểu Học Nguyễn Thái Học - Yên Bái","Trường Cấp 1"
"Trường THCS Lê Hồng Phong - Yên Bái","Cấp 2"
"Trường THPT Nguyễn Huệ - Yên Bái","cấp 3"
"Trường Đại Học Lao Động Xã Hội - Hà Nội","Trung Cấp Kế Toán"
"dai hoc lao dong xa hoi","diện cong nghiệp"
"CAO ĐẲNG CNTT ISPACE","Quản trị mạng"
"Cao Đẳng Nghề Thủ Đức","Thiết Kế Đồ Họa"
"Trường Cao Đẳng Kinh Tế Kỹ Thuật Công Nghiệp ll","Chế độ tạo máy"
"Trung Học Phổ Thông Nguyễn Du","Lớp 10"
"Trường Trung Cấp Tổng Hợp Thành Phố Hồ Chí Minh","Quản Trị Du Lịch - Nhà Hàng - Khách Sạn"
"tthcs tan lap","hc sinh"
"tthcs tan lap","hc sinh"
"Đại học Sư phạm Kỹ thuật HCM","Công nghệ thông tin"
"cao đẳng viễn đông","điều dưỡng"
"đại học công nghệ tphcm","quản trị nhà hàng và dịch vụ ăn uống"
"ĐH Nông Lâm TP. HCM","kinh tế nông lâm"
"Nguyễn Trung Trực","Kinh doanh, bán hàng"
"Trường CĐSP TÂY NINH","TIẾNG ANH"
"trường cao đẳng công nghệ và quản trị doanh nghiệp","kế toán, tim học"
"THPT Nguyễn Du","Công nghệ thông tin"
"Đại học Mở","kế toán"
"Ho Chi Minh City University of Natural Sciences",0
"Nha Trang University","Quản trị kinh doanh"
"Đại học Kinh tế quốc dân",0
"Đại học công nghệ-Đại học quốc gia Hà Nội",0
"thpt le hoai don",thpt
"Cao Đẳng Kinh Tế Đối Ngoại","Kinh Doanh Xuất Nhập Khẩu"
"Đại học Công Đoàn","Bảo hộ lao động"
"Trường THPT Tân Kỳ 3","Phổ thông"
"Trường Đại học Công nghiệp Hà Nội","Quản trị kinh doanh "
"Da Nang University of Economics","Business Administration"
" Deakin University","Commerce "
"cao đẳng kinh tế công nghiệp hà nội","Tin ứng dụng"
"Kyoto University"," Computer Science with AI"
"Osaka University of Foreign Studies",0
"Đại học Luật Huế","Luật kinh tế"
"Học viện Báo chí và Tuyên truyền",0
"Trường Đại học Kinh tế Quốc Dân - NEU","Kiểm toán"
"Trường đại học công nghiệp Hà Nội",0
"Đại học giao thông vận tải","Cơ khí ô tô"
"Kinh tế Kĩ thuật Công Nghiệp","Điện tử Truyền thông"
"cao đẳng nghệ thuật Hà Nội",piano
"cao đẳng nghệ thuật Hà Nội",piano
"Đại Học Công Đoàn","Quản Trị Kinh Doanh"
"Truong dai hoc bac lieu","Ke toan"
"Truong dai hoc bac lieu","Ke toan"
"thcs hậu giang","khong co"
"Cao Đẳng Công Nghệ Thông Tin TP. HCM","Truyền Thông Và Mạng Máy Tính"
"Trường trung học phổ thông Yên Lập",0
"Trung cấp nghề tổng hợp Hà Nội","Điện Công Nghiệp"
"Đại học Thương mại","Khách sạn du lịch"
"Đại học Kinh tế Quốc Dân","Kiểm toán"
"đại học sư phạm đà nẵng","hoá dược"
"đại học công nghệ tphcm hutech","công nghệ thông tin"
"Đại học KInh tế - Kỹ thuật công nghiệp","Quản trị kinh doanh"
"trường Đại học Tài Chính Marketing","kiểm toán"
"Trường THPT Tháp Chàm",0
"FPT APTECH VIETNAM","Công Nghệ Thông Tin"
"Đại học Công nghệ Thông tin - Đại học Quốc gia Tp Hồ Chí Minh","Công Nghệ Thông Tin"
"Cao đẳng Cộng đồng Cà Mau",0
"THPT Hữu Lũng ",0
"thcs thai van lung","hoc cap 2"
"Trung cấp kỹ thuật & công nghệ Cửu Long","Dược sĩ trung cấp"
"Đại học Công Nghiệp Tphcm","Điện tử, Truyền Thông"
"East Asia Institute of Management EASB","Business Management"
"Học Viện Đào Tạo PTI","Chief Marketing Officer"
"Đại học FPT","Lập trình viên"
"trường đại học Văn Hoá Hà Nội","văn hoá học"
"Cao Đẳng Công Nghiệp Huế","cơ khí chế tạo"
"THPT Phan Bội Châu",0
"Trường Cao đẳng Nghề An Giang","Xây Dựng Dân Dụng"
" Đại học ngoại ngữ tin học TPHCM","Quản trị Kinh doanh Quốc tế"
"Đại học Công nghiệp TP Hồ Chí Minh","Công Nghệ Thông Tin"
"Đại học Kinh tế Kỹ thuật Công nghiệp","Tài chính Ngân Hàng"
"Cao đẳng Sư phạm Trung Ương","Giáo dục Mầm non"
"trung hoc co so trung hieu","trung hoc"
"Đại học Công Nghiệp Thực Phẩm","Quản trị kinh doanh"
"Đại học Mở TPHCM",CNTT
"Trường THPT Tân Trụ",0
"Trường THPT Phan Đình Phùng - Hà Tĩnh",0
"Trường THPT Phan Đình Phùng - Hà Tĩnh",0
"Trường THPT Thạch Thành I",0
"Đại học Quóc Gia Hà Nội","Khoa học chính trị"
"Trường  Đại học Đông Á","Kế toán doanh nghiệp"
"Monash University","Master of Applied Finance "
"Trường THPT Hữu Trang",0
"Trường Đại học Khoa học Xã hội và Nhân văn",0
"RMIT University VietNam","Bachelor of Commerce"
"Trường Đại học Kinh tế Quốc Dân",0
"Đại học Phương Đông","Kế toán"
"Trường THPT Nguyễn Trãi - Bến Tre",0
"Trường Đại học Kinh tế Quốc dân","Quản trị nhân lực"
"Trường THPT A Hải Hậu",0
"THPT Tây Sơn","học sinh"
"cao đẳng công thương","cơ khí động lực"
"Trường THPT chuyên Lương Văn Chánh","chính quy"
"Trường Đại Học Kinh Tế Luật","Kiểm toán"
"Trường THPT Lê Viết Thuật - TP Vinh ",0
"Trường THPT Nguyễn An Ninh",0
"Trường Đại Học Nông Lâm TP.HCM ",0
"CĐ Bách Khoa Đà Nẵng  Đà Nẵng","Quản trị kinh doanh"
"HITU - Trường Cao Đẳng Công Thương TP.HCM ","Kỹ Thuật Ôtô"
"Trường THPT Lê Quý Đôn Tây Ninh ",0
"Trường cao đẳng y tế Hà Đông","y sỹ đa khoa"
"trường đại học công nghiệp hà nội","công nghệ kỷ thuật ô tô"
"Đại học công nghệ hutech",marketing
"đại học sài gòn","sư phạm"
"Duy Tan University ","Marketing "
"Trường Tccn Kỹ Thuật Và Nghiệp Vụ Nam Sài Gòn","Kỹ thuật chế biến món ăn"
"Trường Tccn Kỹ Thuật Và Nghiệp Vụ Nam Sài Gòn","Kỹ thuật chế biến món ăn"
"STHC - Saigontourist Hospitality College 在籍者","Du lịch"
"Học viện Quân Y","Bác sĩ đa khoa"
"Arena Multimedia",0
"Đại học Xây dựng · Hà Nội","XDDD&CN "
"Đại học Quy Nhơn",0
"DDH Giao thông Vận tải",0
"Học viện Tài Chính (Academy Of Finance)",0
"THPT Quỳnh Lưu 4",0
"Duy Tan University","Finance and Banking"
"THPT Nguyễn Bỉnh Khiêm",0
"Hanoi University of Science and Technology  ","CNTT - IT"
"CĐ Công Nghệ Thông Tin - Đà Nẵng",0
"Cao Đẳng Kinh Tế Đối Ngoại","Tiếng Anh Thương Mại"
"Đại Học Mỏ Địa Chất Hà Nội ",0
"ĐH Tài chính - Marketing Thành phố Hồ Chí Minh",0
"Cao đẳng Giao Thông Vận Tải ","Công Nghệ Ôtô Khoa Cơ Khí Động Lực"
"Dai Hoc Tong Hop TP HCM 1988 đến 1991 · Ngữ văn",0
"THPT Phan Văn Trị ",0
"ĐẠI HỌC CÔNG NGHỆ THÔNG TIN GIA ĐỊNH","Banking & Finance"
"THPT TRẦN HƯNG ĐẠO","Không có"
"Đại học Duy Tân","Dược sỹ"
"HUTECH - Đại học Công nghệ Tp.HCM  ","Thiết kế Thời Trang"
"National Economics University  ","Coporate Finance"
"Đại học Tôn Đức Thắng","Ngôn ngữ Trung Quốc"
"SaigonTech - Houston Community College",Marketing
"Trường Đại học Ngoại ngữ - Tin học TP. HCM - HUFLIT","Tin học"
"Đại Học Quốc Tế Miền Đông ","Supply Chain Management "
"cao đẳng điện lực miền trung","công nghệ kĩ thuật điện điện tử"
"Truman State University",Communication
"DH Công Nghiệp TPHCM","Công Nghệ Thực Phẩm"
"thpt quang trung đống đa","ban tự nhiên"
"trường trung cấp nghề số 3 quân đoàn 3","cơ khí khá"
"University of Economics and Finance","International Business"
"Hùng Vương","Sửa Chữa Xe Gắn Máy"
"Đại học Công nghiệp Hà Nội","Kế toán - Kiểm toán "
"Cao đẵng phát thanh truyền hình","Phóng viên biên tập viên"
"đại học kinh tế kỹ thuật công nghiệp","công nghệ may"
"Trường Đại học Nội Vụ Hà Nội","Văn thư Lưu trữ"
"ĐH kinh tế quốc dân (NEU)",0
"cấp 3 long phước","chuyên môn"
"HUTECH - Trường Đại học Công nghệ TP.HCM",0
"Universiti Teknologi Malaysia (UTM)",0
"Đại Học Kinh Tế Công Nghiệp Long An","Kỹ Thuật Xây Dựng"
"Đại học Thương Mại","Quản trị thương mại điện tử"
"Đại học Thủy Lợi","Công nghệ thông tin"
"Viện Nghiên Cứu Kinh Tế và Phát Triển","Quản Trị Kinh Doanh"
"Đại Học Tài Chính - Marketing ","Quản Trị Kinh Doanh"
"Cao Đẳng Văn Hoá Nghệ Thuật Và Du Lịch Sài Gòn","Quản Trị Kinh Doanh"
"truong trung cap Phuong dong","ke toan"
"truong trung cap Phuong dong","ke toan"
"Trường THCS Vĩnh Hưng","Tốt nghiệp 12/12"
"ĐH Công Nghệ TPHCM","công nghệ thực phẩm"
"Đại học Tôn Đức Thắng","Việt Nam học chuyên ngành Hướng dẫn du lịch"
"Đại Học CNTT Gia Định","Tài Chính Kế Toán"
"Cao Đẳng Nghề số 7","lập trình máy tính"
"Đại học Bách Khoa HCM","Cơ điện tử"
"Cao Đẳng Nghề CNTT Ispace","An Ninh Mang"
"Trường Cao Đẳng Bách Việt","Công Nghệ Thực Phẩm"
"đại học thuong mại",marketing
"PTTH Nguyễn Du",12/12
"Đại Học Công nghệ TpHCM (Hutech)","Kỹ thuật Môi trường"
"Đại Học Công nghệ TpHCM (Hutech)","Kỹ thuật Môi trường"
"Đại Học Công nghệ TpHCM (Hutech)","Kỹ thuật Môi trường"
"TRƯỜNG ĐẠI HỌC TÀI CHÍNH-MARKETING","Thương Mại Quốc Tế"
"đại học sư phạm quốc gia","giáo dục mầm non"
"Đại học FPT","Tài chính-Ngân hàng"
hutech,"quản trị khách sạn"
"Cao đẳng kinh tế kỹ thuật Hà Nội","Kế toán"
HUTECH,"Commercial English"
"Cao đẳng kinh tế công nghiệp Hà Nội","Kế toán tổng hợp"
"Học viện Hậu Cần","Kế toán"
"thpt tenloman",thpt
"international cambridge","business management"
"Đại học FPT","Tài chính"
"Niit Quang trung ","công nghệ thông tin "
"Học viện Hậu Cần","Tài Chính- Ngân hàng"
"Khoa học tự nhiên","Công nghệ phần mềm"
"Đại học Lao động xã hội","Bảo hiểm"
"PTTH Lương Thế Vinh","cấp 3"
"Đại học công nghiệp hà nội","kế toán"
"Đại học công nghiệp hà nội","kế toán"
"Đại học Mở TP HCM","Quản trị kinh doanh"
"Cao đẳng điện tử điện lạnh Hà Nội","Điện tử viễn thông"
"đại học Thương Mại","quản trị dự án và quản trị nhân sự"
"ĐH Quốc Tế Hồng Bàng","tài chính ngân hàng"
"Thcs và THPT Di Linh","trung học 9"
Huflit,"Ngôn Ngữ Học"
"Học viện Phụ nữ Việt Nam","Marketing và Thương mại điện tử"
"đi làm","thư ký"
"Đại học Quốc Tế Hồng Bàng","Quản Trị Kinh Doanh"
"Đại học công nghiệp Việt Nam - Hungari","Công nghệ kỹ thuật điện, điện tử"
"Đại Học Cửu Long","Quản Trị Kinh Doanh - Marketing"
"Cao đẳng Kinh tế Đối ngoại","Xuất Nhập Khẩu"
"ĐH Kinh tế Hồ Chí Minh","Ngoại Thương"
"Đại học kinh tế quốc dân","Tài chính doanh nghiệp"
"Cao Đẳng Du Lịch Hà Nội","Quản trị lữ hành"
"Học viện Kỹ thuật Mật mã","An toàn thông tin"
"đh công nghệ giao thông vận tải","điện . điện tử"
"THPT Đạ Teh.",0
"Đại học Tài chính - Marketing","Thẩm định giá"
"truong cao dang dien luc thanh pho ho chi minh","hệ thống điện"
"Đại học RMIT Việt Nam","Logistics & Supply Chain Management"
"Đại học Văn Lang","Quản trị Du lịch lữ hành"
"Trường trung cấp phương nam",dược
"Đại học Lâm Nghiệp TP Hồ Chí Minh",0
김민수,0
"Trường Đại Học Xây Dựng Miền Tây",0
"Sonadezi College Of Technology and Management",0
"Trường Đại học Tôn Đức Thắng ","Pharmacy "
"THPT Long Kiến Long Xuyên",0
"Đại học Kinh tế Quốc dân Hà Nội",0
"Học viện Công nghệ Bưu chính Viễn thông Hà Nội",0
"Trường Đại học Kinh doanh và Công nghệ Hà Nội","Quản tri kinh doanh"
"Trường Đại Học Nông Lâm TP.HCM ",0
"Đại học Kiến trúc Hà Nội",0
" Trường Hữu Nghị 80 Sơn Tây",0
"Trường Đại học Kinh Tế Quốc Dân ","Kế toán - Kiểm toán"
"ĐH Kinh Tế TP.HCM ",0
"Hà Nội Law University",0
"Trường Trung Cấp Ánh Sáng",0
"Trường Đại học Sư phạm Kỹ thuật Hưng Yên"," cơ điện tử"
"THCS Hậu GIang",0
12/12,THPT
"Trường THPT Văn Miếu - Thanh Sơn - Phú Thọ",0
"Đại học Công nghệ TP Hồ Chí Minh",0
"Trường Đại học Tài chính - Marketing ",0
"Bo quoc phong cao dang nghe so 8 ",0
"thpt long hai phuoc tinh Vũng Tàu",0
"Đại học Kinh tế - Luật","Luật kinh doanh"
"trường đại học ngoại ngữ - tin học tp hồ chí minh","thiết kế đồ hoạ"
"Dai Hoc Su Pham Ha Noi  ·","Mầm non"
"Đại học Sao Đỏ",0
"THPT Lương Thế Vinh- Gia Lai",0
"Học Viện Nông Nghiệp Việt Nam Khóa 2016 ","Kinh tế học phát triển"
"Trường Đại Học Kinh Tế Kĩ Thuật Công Nghiệp Hà Nội",0
"THPT Việt Nam - Ba Lan",0
"Đại học Kinh Tế-Kỹ thuật Công nghiệp ( UNETI)",0
"THPT Trần Phú - Đà Lạt",0
"Trường Đại học Sư phạm Hà Nội ","GV Mầm Non"
"trường đại học giao thông vận tải thành phố hồ chí minh","Thiết Bị Năng Lượng"
"Trung học Thực hành Sài Gòn [Sai Gon Experimental High school]",0
"THPT Suong Nguyet ANH",0
"Trường THPT Đạ Huoai",0
"Đại học Văn Hóa TP HCM - VHS","Quản Lý Văn Hóa"
"Trường Đại Học Công Nghiệp TP.HCM","Quản trị Kinh doanh"
"Đại học Hà Nội","Ngôn ngữ Anh"
"Đại học Bạc Liêu",0
"Liên kết Đại học sư phạm kỹ thuật Tp HCM","Quản Trị Kinh Doanh"
"Đại học Hồng Đức",0
"Trường Đại học Khoa học Xã hội và Nhân văn","Văn học"
"SG tourist","Qli nhà hàng"
"Trung cấp công nghệ và kỹ thuật Cửu Long",0
hutech,"tài chính ngân hàng"
"Cao Đẳng Công Nghệ Thông Tin - TP.HCM ",0
"Ton Duc Thang University ","Kế toán"
"THPT Phạm Thái Bường Trà Vinh",0
"THPT Dĩ An",THPT
"Đại học Tôn Đức Thắng","Việt Nam Học"
"Đại học Luật tphcm","Luật học"
"Trường ĐH Tài Chính Marketing","Tài chính Ngân hàn"
"Đại học Khoa học xã hội và nhân văn","Hán Nôm"
"đại học kinh tế quốc dân","quản trị kinh doanh quốc tế"
"trường thpt chuyên khoa học tự nhiên","chuyên toán"
"Cao Đẳng Kinh Tế Kỹ Thuật Phú Lâm","Kỹ Thuật "
"Học viện Tài Chính (Academy Of Finance)","Kế Toán"
"Trường Đại Học Công Nghiệp Thành Phố Hồ Chí Minh","Điện Công Nghiệp Và Điện Dân Dụng"
"Cao đẳng Phát Thanh - Truyền Hình 2","Báo chí"
"Đại học Quốc gia Hà Nội","Sư phạm"
"International School HCMC American Academy",0
"THPT Quốc Oai","Học sinh ban A01 chuyển D01"
"Mỹ thuật công nghiệp","Đồ hoạ"
"Trường Cao Đẳng Nghề GTVT TW2",Ngề
"Trường Cao Đẳng Nghề GTVT TW2",Nghề
"Trường CĐ Kinh Tế Kỹ thuật Sài Gòn","kế toán"
"Hanoi University of Science and Technology","Lecturer in School of Mechanical Engineering"
"ĐẠI HỌC KIẾN TRUC",0
"Đại học Giao Thông Vận Tải ","Quản trị kinh doanh"
"Đại Học Trà Vinh","Quản Trị Kinh Doanh"
"Đại học Luật Hà Nội","Luật dân sự và tố tụng dân sự"
" Đại Học Thương Mại",Economics
"Khoa Quốc Tế- Đại Học Quốc Gia Hà Nội","Tài Chính Kế Toán"
"Đại học Kinh tế - Luật ĐHQG TPHCM",0
"THPT Yên Định 2","Tốt nghiệp THPT"
"EUH ( Economy University HCMC)","Banking & Finance"
