,school,major,example_school,data_school,example_major,data_major
2072,dai hoc Cong Nghiep TPHCM,Tai chinh - Ngan hang,dai hoc tai chinh marketing,dai hoc cong nghiep hcm,marketing,tai chinh ngan hang
2073,Đại Học Thương Mại,Kế Toán,dai hoc kinh te luat hcm,dai hoc thuong mai,quan tri kinh doanh,ke toan
2074,ĐH Tài Chính Marketing,Marketing,dai hoc quoc te mien dong,dai hoc tai chinh marketing,dien tu dong cong nghiep,marketing
2075,kinh tế luật,QTKD,dai hoc dien luc,dai hoc kinh te luat dai hoc quoc gia hcm,ke toan doanh nghiep,qtkd
2076,Đại học Quốc tế miền đông,Tự động hóa,dai hoc kinh te ky thuat cong nghiep,dai hoc quoc te mien dong,cong nghe ky thuat dien dien tu,tu dong hoa
2077,Đại học Điện Lực,Kế toán doanh nghiệp,dai hoc sai gon,dai hoc dien luc,luat thuong mai quoc te,ke toan doanh nghiep
2078,đại học kinh tế kỹ thuật công nghiệp hà nội,điện điện tử,cao dang y te binh duong,dai hoc kinh te ky thuat cong nghiep,ke toan,dien dien tu
2079,Đại học Sài Gòn,Luật thương mại quốc tế,dai hoc kinh doanh cong nghe ha noi,dai hoc sai gon,thiet ke noi that,luat quoc te
2080,Trường Trung Cấp Kinh Tế Bình Dương,Kế Toán ,dai hoc kinh te quoc dan,CannotFound,quan tri kinh doanh,ke toan
2081,Đại học Kinh Doanh và Công Nghệ HN,Thiết kế nội thất,dai hoc tai chinh ke toan,dai hoc kinh doanh cong nghe ha noi,ke toan,thiet ke noi that
2082,đại học kinh tế quốc dân,quản trị kinh doanh,dai hoc rmit,dai hoc kinh te quoc dan,thuong mai dien tu,quan tri kinh doanh
2083,kế toán bác thành,kế toán tổng hợp,dai hoc nguyen tat thanh,CannotFound,tieng anh thuong mai,ke toan
2084,Đại học quốc tế RMIT,Thương Mại ,trung hoc pho thong,dai hoc quoc te rmit viet nam,pho thong,thuong mai dien tu
2085,Đại học Nguyễn Tất Thành,Anh văn thương mại,cao dang hoan chau,dai hoc nguyen tat thanh,nau an,anh van thuong mai
2086,Trung học phổ thông Nguyễn Hữu Thọ,Trung học phổ thông,dai hoc khoa hoc tu nhien ha noi,trung hoc pho thong nguyen huu tho,thiet ke noi that,trung hoc pho thong
2087,da nghi hoc hoi cap 2,khong co kinh nghiem,dai hoc ngoai ngu tin hoc hcm,CannotFound,quan tri kinh doanh,khong co kinh nghiem
2088,Trung tâm tin học Đại Học Khoa Học Tự Nhiên,Thiết Kế Website,dai hoc hue,trung tam tin hoc dai hoc khoa hoc tu nhien,quan he cong chung,thiet ke website
2089,HCM University of foreign language and information technology,Business administration,dai hoc mo dia chat,dai hoc cong nghe hcm,cong nghe ky thuat dien dien tu,quan tri kinh doanh
2090,Dai hoc hung vuong ,quan tri du lich khach san va nha hang,cao dang nghe ky thuat cong nghe,dai hoc hung vuong,ke toan doanh nghiep,quan tri du lich khach san
2091,đại học Mỏ Địa chât,kỹ thuật điện điện tử,cao dang y te ha dong,dai hoc mo dia chat,dieu duong,ky thuat co dien tu
2092,cao đẳng nghề kỹ thuật công nghệ tphcm,kế toán doanh nghiệp,hoc vien quan y,cao dang nghe ky thuat cong nghe,y da khoa,ke toan doanh nghiep
2093,cao đẳng y tế hà đông,điều dưỡng đa khoa,dai hoc cong nghe hcm,cao dang y te ha dong,cong nghe thong tin,dieu duong
2094,Trường Tc Quân Y I,Y sĩ đa khoa,dai hoc su pham dai hoc hue,CannotFound,lich su,y khoa
2095,Đại học công nghệ Tphcm,công nghệ thông tin,cao dang hoan chau,dai hoc cong nghe hcm,cong nghe ky thuat dien dien tu,cong nghe thong tin
2096,đại học sư phạm huế,lịch sử,dai hoc kinh te quoc dan,dai hoc su pham hue,tieng anh thuong mai,lich su
2097,ĐẠI HỌC MỎ ĐỊA CHẤT HÀ NỘI,kỹ thuật điều khiển tự động hóa,dai hoc cong nghe hcm,dai hoc mo dia chat,tieng anh thuong mai,ky thuat dieu khien tu dong hoa
2098,Đại học Kinh tế Quốc dân,Chuyên ngành Tiếng Anh Thương Mại,dai hoc quoc gia ha noi,dai hoc kinh te quoc dan,cong nghe thong tin,chuyen nganh
2099,hutech,tiếng anh thương mại,dai hoc khoa hoc xa hoi nhan van hcm,CannotFound,dong phuong hoc,tieng anh thuong mai
2100,TT Tin Học PT-khoa CNTT Trường ĐHQG Hà Nội,Công Nghệ Thông Tin,dai hoc ton duc thang,dai hoc cong nghe dai hoc quoc gia ha noi,bao ho lao dong,cong nghe thong tin
2101,ĐH KHXH & NV tpHCM,Đông phương học,dai hoc bach khoa hcm,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,ky thuat in,dong phuong hoc
2102,Đại học Tôn Đức Thắng,Bảo hộ lao động,dai hoc cong nghiep hcm,dai hoc ton duc thang,tai chinh ngan hang,bao ho lao dong
2103,Trường Đại học Bách Khoa,Tiếng Anh Kỹ Thuật,hoc vien ngan hang,dai hoc bach khoa ha noi,quan tri marketing,tieng anh ky thuat
2104,đại học Công nghiệp Tp. HCM,Tài Chính- Ngân Hàng,dai hoc kinh te ha noi,dai hoc cong nghiep hcm,ke toan doanh nghiep,tai chinh ngan hang
2105,Học viện Ngân Hàng,Quản trị Marketing,dai hoc lac hong,hoc vien ngan hang,ke toan,marketing
2106,trung học kinh tế hà nội,kế toán doanh nghiệp,dai hoc su pham ha noi,trung hoc kinh te ha noi,huan luyen the thao,ke toan doanh nghiep
2107,dh lạc hồng,kế toán,cao dang thong ke,dai hoc lac hong,ly luan lich su phe binh my thuat,ke toan
2108,Đại học Sư Phạm Hà Nội,Thể thao,dai hoc cong nghe hcm,dai hoc su pham ha noi,quan tri kinh doanh,huan luyen the thao
2109,Cao Đẳng Thống kê Bắc Ninh,0,dai hoc nguyen tat thanh,cao dang thong ke bac ninh,dieu duong,0
2110,đại học công nghệ thành phố hồ chí minh,quản trị kinh doanh,dai hoc tai chinh marketing,dai hoc cong nghe hcm,quan tri kinh doanh,quan tri kinh doanh
2111,Đại học Nguyễn Tất thành,Điều dưỡng đa khoa,dai hoc sunderland,dai hoc nguyen tat thanh,quan tri kinh doanh,dieu duong
2112,Đại Học Tài Chính Marketing,Quản Trị Kinh Doanh,dai hoc cong nghe hcm,dai hoc tai chinh marketing,co khi o to,quan tri kinh doanh
2113,University of sunderland,quản trị kinh doanh,dai hoc khoa hoc tu nhien hcm,university of sunderland,cong nghe phan mem,quan tri kinh doanh
2114,hutech,cơ khí,cao dang ky thuat cao thang,CannotFound,cong nghe thong tin,co khi
2115,Đại Học KHTN TP.HCM,Công nghệ phần mềm,dai hoc khoa hoc tu nhien hcm,dai hoc khtn hcm,cong nghe thong tin,cong nghe phan mem
2116,Cao đẳng kỹ thuật Lý Tự Trọng,Công nghệ thông tin,dai hoc kinh te hcm,cao dang ky thuat ly tu trong,quan tri kinh doanh,cong nghe thong tin
2117,"Đại học Khoa học tự nhiên, Đại học Quốc gia Tp.  Hồ Chí Minh",Công nghệ thông tin,dai hoc can tho,dai hoc khoa hoc tu nhien dai hoc quoc gia hcm,su pham toan hoc,cong nghe thong tin
2118,Đại học kinh tế Tp.  Hcm,Quản trị kinh doanh,dai hoc kinh te ky thuat cong nghiep,dai hoc kinh te hcm,ky thuat co dien tu,quan tri kinh doanh
2119,Đại học Cần Thơ,Sư phạm Toán học,dai hoc xay dung ha noi,dai hoc can tho,kien truc,su pham toan hoc
2120,Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,Cơ Điện,hoc vien ngan hang,dai hoc kinh te ky thuat cong nghiep,ly luan lich su phe binh my thuat,ky thuat co dien tu
2121,Trường Đại Học Xây Dựng - nuce,Kiến Trúc Và Quy Hoạch ,dai hoc cong nghe giao thong van tai,dai hoc xay dung nuce,ly luan lich su phe binh my thuat,kien truc
2122,Học Viện Ngân Hàng,0,trung hoc pho thong,hoc vien ngan hang,giao duc hoc,0
2123,Đại học Công nghệ Giao thông vận tải,0,dai hoc tai chinh ngan hang ha noi,dai hoc cong nghe giao thong van tai,tai chinh doanh nghiep,0
2124,Trung Hoc Pho Thong Han Thuyen,Giao Duc,dai hoc nong lam hcm,trung hoc pho thong han thuyen,quan tri kinh doanh,giao duc hoc
2125,Đại học tài chính ngân hàng hà nội,Tài chính doanh nghiệp,dai hoc cong nghe thong tin hcm,dai hoc tai chinh ngan hang ha noi,khoa hoc may tinh,tai chinh doanh nghiep
2126,Trường đại học Nông Lâm TP HCM,chuyên ngành Quản Trị Kinh Doanh,vien dai hoc mo ha noi,dai hoc nong lam hcm,cong nghe thong tin,quan tri kinh doanh
2127,Đại Học Công Nghệ Thông Tin,Khoa Học Máy Tính,cao dang cong nghe quan tri sonadezi,dai hoc cong nghe thong tin dai hoc quoc gia hcm,quan tri kinh doanh,khoa hoc may tinh
2128,Ha Noi Open University,Công nghệ điện tử thông tin,trung cap,dai hoc mo ha noi,lai xe,cong nghe thong tin
2129,Cao đẳng Công Nghệ & Quản Trị Sonadezi,Quản trị kinh doanh,hoc vien nong nghiep viet nam,cao dang cong nghe quan tri sonadezi,chan nuoi thu y,quan tri kinh doanh
2130,trung cấp nghề bình dương,lái xe b2,dai hoc cong nghe hcm,CannotFound,thiet ke thoi trang,lai xe b2
2131,học viện nông nghiệp Việt Nam,Chăn nuôi thú y,dai hoc oxford,hoc vien nong nghiep viet nam,ke toan tai chinh,chan nuoi
2132,Đại Học Công nghệ TPHCM - Hutech,Cử nhân Thiết kế Thời trang,dai hoc giao duc ha noi,dai hoc cong nghe hcm,ke toan tai chinh,thiet ke thoi trang
2133,University of Bradford,Accounting and Finance,dai hoc leicester,university of bradford,khoa hoc quan ly,accounting and finance
2134,Hong Kong Institute of continuing higher education,Accounting and Finance,dai hoc quoc gia hcm,CannotFound,cong nghe thong tin,accounting and finance
2135,University of Gloucestershire,Accounting and Finance Management Studies,dai hoc thang long,university of gloucestershire,dien vien kich dien anh truyen hinh,accounting and finance management studies
2136,Đại học quốc gia thành phố HCM,Công nghệ thông tin,hoc vien ngan hang,dai hoc quoc gia hcm,tai chinh ngan hang,cong nghe thong tin
2137,Thăng Long Aptech,Lập trình viên,cao dang kinh te cong nghe hcm,CannotFound,tai chinh ngan hang,lap trinh vien
2138,học viện ngân hàng,tài chính ngân hàng,trung cap,hoc vien ngan hang,cong nghe truyen thong,tai chinh ngan hang
2139,cao đẳng kinh tế công nghệ tp.hcm,tài chính ngân hàng,dai hoc duy tan,cao dang kinh te cong nghe hcm,quan tri kinh doanh,tai chinh ngan hang
2140,trung cấp thông tin truyền thông,truyền thông,dai hoc cong nghe hcm,CannotFound,ky thuat dien tu vien thong,truyen thong quoc te
2141,đại học duy tân,quản trị kinh doanh,trung hoc pho thong,dai hoc duy tan,pho thong,quan tri kinh doanh
2142,Ho Chi Minh university of technology,electronic and telecomunication,dai hoc lac hong,dai hoc cong nghe hcm,cong nghe sinh hoc,electronic and telecomunication
2143,thpt số 1 sơn tịnh tp quãng ngãi,thpt,dai hoc thuong mai,trung hoc pho thong so 1 son tinh quang ngai,tai chinh ngan hang,trung hoc pho thong
2144,Đại Học Lạc Hồng,Công Nghệ Sinh Học Môi Trường,trung hoc pho thong,dai hoc lac hong,toan kinh te,cong nghe sinh hoc
2145,đại học thương mại,tài chính ngân hàng,cao dang bach viet,dai hoc thuong mai,tai chinh ngan hang,tai chinh ngan hang
2146,thpt  quỳnh lưu 3,toán hóa sinh,cao dang su pham nam dinh,trung hoc pho thong quynh luu 3,trung quoc hoc,toan hoa sinh
2147,cao đẳng bách nghệ tây hà,tài chính ngân hàng,dai hoc dien luc,cao dang bach nghe tay ha,quan tri kinh doanh,tai chinh ngan hang
2148,phạm đình hổ,trung học cơ sở,dai hoc sai gon,CannotFound,su pham tieng anh,trung hoc co so
2149,Đại Học Điện Lực,Quản Trị Kinh Doanh,dai hoc ha noi,dai hoc dien luc,quan tri kinh doanh,quan tri kinh doanh
2150,Đại học Sài Gòn,Tiếng Anh,hoc vien quan ly giao duc,dai hoc sai gon,nhiep anh,su pham tieng anh
2151,Đại học Hà Nội,Quản trị kinh doanh,cao dang cong nghe kinh te cong nghiep,dai hoc ha noi,tai chinh ngan hang,quan tri kinh doanh
2152,trường quản lý Khách Sạn Việt Úc,Bếp,cao dang duoc trung uong hai duong,CannotFound,trung tam,bep
2153,Công Nghệ và Kinh Tế Công Nghiệp,Ngân hàng,cao dang cong nghiep hue,cao dang cong nghe kinh te cong nghiep,ke toan doanh nghiep,tai chinh ngan hang
2154,cao đẳng dược trung ương hải dương,dược sĩ trung học,dai hoc tai chinh marketing,cao dang duoc trung uong hai duong,kinh doanh quoc te,duoc hoc
2155,cao đẳng nghề công nghiệp hà nội,kế toán doanh nghiệp,hoc vien toa an,cao dang nghe cong nghiep ha noi,cong nghe thong tin,ke toan doanh nghiep
2156,Finance - Marketing,International Business,dai hoc duoc ha noi,dai hoc tai chinh marketing,duoc hoc,kinh doanh quoc te
2157,Niit Academy,It,dai hoc bach khoa ha noi,CannotFound,cong nghe thong tin,it
2158,TC dược HN,Dược Sĩ,dai hoc murdoch,CannotFound,pha che,duoc si
2159,Đại học Bách Khoa Hà Nội,Công nghệ Thông tin,dai hoc giao thong van tai,dai hoc bach khoa ha noi,kinh te van tai,cong nghe thong tin
2160,Đại học Mỏ Địa Chất,Địa Chất,dai hoc hang hai viet nam,dai hoc mo dia chat,thiet ke do hoa,dia chat hoc
2161,Đại học Giao Thông Vận Tải,Vận tải - Kinh tế,dai hoc viet bac,dai hoc giao thong van tai,quan tri khach san,kinh te
2162,arena multimedia,thiết kế đồ hoạ,cao dang ky thuat cao thang,CannotFound,go han,thiet ke do hoa
2163,Trường Đại Việt,Nhà Hàng - Khách Sạn,dai hoc kinh te dai hoc da nang,dai hoc viet duc,tai chinh ngan hang,nha hang khach san
2164,Trường Cao Đẳng Kỹ Thuật Cao Thắng,Hàn,dai hoc hoa sen,cao dang ky thuat cao thang,ngon ngu anh,han nom
2165,Đại học Kinh Tế Đà Nẵng,Tài chính - Ngân hàng,dai hoc lao dong xa hoi,dai hoc kinh te da nang,ke toan,tai chinh ngan hang
2166,đại học hoa sen,ngôn ngữ anh,cao dang bach khoa da nang,dai hoc hoa sen,cong nghe thong tin,ngon ngu anh
2167,dh lao động -xã hội,kế toán,trung hoc pho thong,dai hoc lao dong xa hoi,nau an,ke toan
2168,cao đẳng bách khoa,công nghệ thông tin,dai hoc luat hcm,cao dang nghe bach khoa,ky thuat hinh su,cong nghe thong tin
2169,Trường Trung Học Phổ Thông Số 2 Tuy Phước ,Nấu Ăn,dai hoc cong nghiep hcm,trung hoc pho thong so 2 tuy phuoc,cong nghe ky thuat moi truong,nau an
2170,Đại học Luật tp HCM,Luật hình sự,trung cap,dai hoc luat hcm,y te cong cong,luat hinh su to tung hinh su
2171,ĐẠI HỌC CÔNG NGHIỆP TP HCM,công nghệ môi trường,hoc vien ky thuat quan su,dai hoc cong nghiep hcm,chi huy tham muu hai quan,cong nghe ky thuat moi truong
2172,trung cấp quân y 2 (hệ quân sự),y tá,dai hoc cong nghe sai gon,CannotFound,cong nghe thuc pham,y ta
2173,thực hiện nghĩa vụ quân sự,"y tá đơn vị, chiến sĩ nuôi quân",dai hoc hung vuong,CannotFound,lai xe,y ta don vi chien si nuoi quan
2174,Đại Học Công Nghệ Sài Gòn ( STU) · ,Công nghệ thực phẩm,dai hoc quoc gia ha noi,dai hoc cong nghe sai gon,quan tri mang may tinh,cong nghe thuc pham
2175,cty cp xd tm hùng vĩ,lái xe,dai hoc khoa hoc xa hoi nhan van ha noi,CannotFound,quan he quoc te,lai xe
2176,Đại học Công nghệ - Đại học Quốc Gia Hà Nội,Quản trị Mạng,dai hoc quoc gia ha noi,dai hoc cong nghe dai hoc quoc gia ha noi,quan tri mang may tinh,quan tri mang
2177,Đại học Xã hội và nhân văn,Quan hệ quốc tế,dai hoc quoc gia ha noi,dai hoc xa hoi nhan van,quan tri mang may tinh,quan he quoc te
2178,Đại học Công nghệ - Đại học Quốc Gia Hà Nội,Quản trị Mạng,dai hoc kinh te tai chinh hcm,dai hoc cong nghe dai hoc quoc gia ha noi,tai chinh luong,quan tri mang
2179,Đại học Công nghệ - Đại học Quốc Gia Hà Nội,Quản trị Mạng,dai hoc cong nghiep hcm,dai hoc cong nghe dai hoc quoc gia ha noi,cong nghe may,quan tri mang
2180,London School of Economics and Social Science,Finance · Private Equity,trung hoc co so,CannotFound,ly luan lich su phe binh my thuat,finance private equity
2181,đại học công nghiệp tp. hcm,công nghệ hoá,cao dang su pham vinh long,dai hoc cong nghiep hcm,giao duc tieu hoc,cong nghe hoa
2182,trường trung học cơ sở mường bú,00,dai hoc thu dau mot,trung hoc co so muong bu,kien truc,00
2183,Cao đẳng sư phạm Vĩnh Phúc,Giáo dục tiểu học,cao dang kinh te ky thuat thuong mai,cao dang vinh phuc,ke toan,giao duc tieu hoc
2184,Trường ĐH Thủ Dầu Một,Kiến trúc công trình,cao dang kinh te hcm,dai hoc thu dau mot,quan tri kinh doanh,kien truc cong trinh
2185,trường cao đẳng kinh tế- kỹ thuật thương mại,kế toán,cao dang cong nghiep hue,cao dang kinh te ky thuat thuong mai,dia tin hoc,ke toan
2186,cao đẳng kinh tế tphcm,quản trị kinh doanh,dai hoc cong nghiep hcm,cao dang kinh te hcm,nau an,quan tri kinh doanh
2187,CĐ Công Nghiệp Huế,Tin Học,trung hoc pho thong,cao dang cong nghiep hue,pho thong,dia tin hoc
2188,dai hoc cong nghiep tphcm,co khi,cao dang dien luc mien trung,dai hoc cong nghiep hcm,cong nghe ky thuat dien dien tu,co khi
2189,THPT Trần Phú - Hoàn Kiếm ,THPT,dai hoc bac lieu,trung hoc pho thong tran phu hoan kiem,ly luan lich su phe binh my thuat,trung hoc pho thong
2190,Cao Đẳng Điện Lực Miền Trung,Kĩ thuật điện-điện tử,dai hoc kinh te ky thuat cong nghiep,cao dang dien luc mien trung,quan tri khach san,ky thuat co dien tu
2191,Đại Học Bạc Liêu,0,dai hoc ton duc thang,dai hoc bac lieu,bao ho lao dong,0
2192,College of Technologies and Economics in Trade (CTET) ,Quản trị khách sạn ,cao dang y te ha noi,CannotFound,ly luan lich su phe binh my thuat,quan tri khach san
2193,Đại học Tôn Đức Thắng,bảo hộ lao động,nhac vien hcm,dai hoc ton duc thang,thanh nhac,bao ho lao dong
2194,Cao Đẳng Y Tế Hà Nội,0,dai hoc nguyen tat thanh,cao dang y te ha noi,hoa duoc,0
2195,Nhạc Viện TPHCM,Thanh Nhạc ,cao dang y te dang van ngu,nhac vien hcm,ly luan lich su phe binh my thuat,thanh nhac
2196,Trường Đại học Nguyễn Tất Thành ,Khoa Dược,cao dang cong nghe thong tin hcm,dai hoc nguyen tat thanh,ly luan lich su phe binh my thuat,hoa duoc
2197,Trung cấp Y tế Đặng Văn Ngữ,0,dai hoc su pham ha noi 2,CannotFound,ly luan lich su phe binh my thuat,0
2198,Cao Đẳng Công Nghệ Thông Tin TP.HCM(ITC),0,dai hoc ton duc thang,cao dang cong nghe thong tin hcm,ly luan lich su phe binh my thuat,0
2199,DHSP Ha Noi 2,0,trung hoc pho thong,dai hoc su pham ha noi 2,trung tam,0
2200,Tôn Đức Thắng University,0,dai hoc cong nghiep quang ninh,dai hoc ton duc thang,ly luan lich su phe binh my thuat,0
2201,trung hoc pho thong,trung hoc pho thong,dai hoc mo hcm,trung hoc pho thong,kinh te doi ngoai,trung hoc pho thong
2202,Trường Đại học Công nghiệp Quảng Ninh ,0,dai hoc cong nghe hcm,dai hoc cong nghiep quang ninh,ly luan lich su phe binh my thuat,0
2203,Đại Học Mở TP Hồ Chí Minh,Ngoại Ngữ,cao dang cong nghiep thai nguyen,dai hoc mo hcm,ly luan lich su phe binh my thuat,ngoai ngu
2204,HUTECH - Trường Đại học Công nghệ TP.HCM,0,trung hoc pho thong,dai hoc cong nghe hcm,ly luan lich su phe binh my thuat,0
2205,Cao Đẳng Công Nghiệp Việt Đức Thái Nguyên ,0,dai hoc ngan hang hcm,cao dang cong nghiep thai nguyen,ly luan lich su phe binh my thuat,0
2206,THPT Chu Van An ,0,trung hoc pho thong,trung hoc pho thong chu van an,ly luan lich su phe binh my thuat,0
2207,DH ngan hang tphcm,0,dai hoc lac hong,dai hoc ngan hang hcm,tai chinh ngan hang,0
2208, Le Hong Phong High School,0,dai hoc cong nghe hcm,CannotFound,quan tri khach san,0
2209,Đại học Lạc Hồng,Tài chính Ngân hàng,dai hoc pham van dong,dai hoc lac hong,quan ly dat dai,tai chinh ngan hang
2210,Đại học Công nghệ Tp HCM,Quản trị khách sạn,dai hoc phuong dong,dai hoc cong nghe hcm,kien truc,quan tri khach san
2211,Đại Học Phạm Văn Đồng,Quản Lí Đất Đai,dai hoc y pham ngoc thach,dai hoc pham van dong,ly luan lich su phe binh my thuat,quan ly dat dai
2212,Đại Học Dân Lập Phương Đông,Khoa Kiến Trúc Công Trình,dai hoc anh quoc,dai hoc dan lap phuong dong,he thong thong tin,khoa kien truc cong trinh
2213,ĐẠI HỌC Y KHOA PHẠM NGỌC THẠCH Thành phố Hồ Chí Minh,0,dai hoc xay dung ha noi,dai hoc y khoa pham ngoc thach,xay dung cau duong,0
2214,Đại học Hoàng Gia Anh Quốc,Hệ thống thông tin ,dai hoc su pham ky thuat hcm,dai hoc hoang gia anh quoc,ly luan lich su phe binh my thuat,he thong thong tin
2215,Đại học Xây dựng,Xây dựng cầu đường ,dai hoc ngoai ngu dai hoc hue,dai hoc xay dung ha noi,su pham tieng trung quoc,xay dung cau duong
2216,University Of Technical Education,0,dai hoc nguyen tat thanh,dai hoc su pham ky thuat hcm,tai chinh ngan hang,0
2217,ĐẠI HỌC NGOẠI NGỮ,KHOA TIẾNG TRUNG,dai hoc can tho,dai hoc ngoai ngu hue,ly luan lich su phe binh my thuat,khoa tieng trung
2218,Đại Học Nguyễn Tất Thành ,Tài chính ngân hàng ,trung hoc pho thong,dai hoc nguyen tat thanh,ly luan lich su phe binh my thuat,tai chinh ngan hang
2219,Trường Đại học Cần Thơ ,0,trung hoc pho thong,dai hoc can tho,ly luan lich su phe binh my thuat,0
2220,THPT Krông Ana,0,trung hoc co so,trung hoc pho thong krong ana,quan tri khach san,0
2221,Trường THPT Chợ Gạo ,0,trung tam,trung hoc pho thong cho gao,co khi o to,0
2222,Queensfield business school,Quản trị du lịch và khách sạn,dai hoc lao dong xa hoi,CannotFound,bao hiem,quan tri du lich khach san
2223,trung tâm dạy nghề cần thơ,cơ khí,dai hoc su pham hcm,CannotFound,am nhac hoc,co khi
2224,Đại học Lao Động-Xã hội,Bảo hiểm,cao dang duoc ha noi,dai hoc lao dong xa hoi,ly luan lich su phe binh my thuat,bao hiem
2225,Trường Đại học Sư Phạm TP. Hồ Chí Minh ·,GDMN ,cao dang giao thong van tai duong thuy 2,dai hoc su pham hcm,thuong mai dien tu,gdmn
2226,Cao Đẳng Dược Hà Nội,0,dai hoc lao dong xa hoi,cao dang duoc ha noi,quan tri nhan luc,0
2227,cao đẳng gtvt đường thuỷ 2,điều khiển phương tiện thuỷ nội địa,cao dang y te dong nai,cao dang giao thong van tai duong thuy 2,duoc hoc,dieu khien phuong tien thuy noi dia
2228,Đại Học Lao Động - Xã Hội,Quản Trị Nhân Lực,dai hoc kinh te hcm,dai hoc lao dong xa hoi,ly luan lich su phe binh my thuat,quan tri nhan luc
2229,Trường Cao Đẳng Y Tế Đồng Nai,Dược sĩ,dai hoc kinh te hcm,cao dang y te dong nai,ly luan lich su phe binh my thuat,duoc si
2230,Trường ĐH Kinh Tế Tp HCM ,0,trung hoc pho thong,dai hoc kinh te hcm,ly luan lich su phe binh my thuat,0
2231,Trường ĐH Kinh Tế Tp HCM ,0,dai hoc khoa hoc tu nhien hcm,dai hoc kinh te hcm,vat ly hoc,0
2232,THPT Krông Ana,0,trung hoc pho thong,trung hoc pho thong krong ana,ly luan lich su phe binh my thuat,0
2233,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Tp. Hồ Chí Minh,Vật lí,dai hoc y ha noi,dai hoc khoa hoc tu nhien dai hoc quoc gia hcm,rang ham mat,vat li
2234,Trường THPT Phú Nhuận ,0,cao dang cong nghiep quoc phong,trung hoc pho thong phu nhuan,ky thuat nhiet,0
2235,Đại học Y Hà Nội,Răng Hàm Mặt,cao dang cong nghiep quoc phong,dai hoc y ha noi,ky thuat nhiet,rang ham mat
2236,STHC - Saigontourist Hospitality College,Batender,cao dang bach viet,CannotFound,ly luan lich su phe binh my thuat,batender
2237,STHC - Saigontourist Hospitality College,Batender,dai hoc ha tinh,CannotFound,ly luan lich su phe binh my thuat,batender
2238,Bách Việt College,0,dai hoc kinh te dai hoc da nang,cao dang bach viet,ly luan lich su phe binh my thuat,0
2239,University at Buffalo,0,dai hoc nguyen tat thanh,university at buffalo,dieu duong,0
2240,Da Nang University of Economics,0,dai hoc su pham ha noi,dai hoc da nang,ly luan lich su phe binh my thuat,0
2241,Đại học Nguyễn Tất Thành,Điều dưỡng trung cấp,dai hoc luat ha noi,dai hoc nguyen tat thanh,luat,dieu duong
2242,Trường Đại Học Sư Phạm Hà Nội ,0,hoc vien ngan hang,dai hoc su pham ha noi,su pham tieng nhat,0
2243,Đại học luật Hà Nội,Luật học,dai hoc hosei,dai hoc luat ha noi,quan tri kinh doanh,luat hoc
2244,Học Viện Nhật Ngữ JCLI,Tiếng Nhật,dai hoc bach khoa hcm,CannotFound,ly luan lich su phe binh my thuat,su pham tieng nhat
2245,Đại Học SHISEIKAN,Quản Trị Kinh Doanh,dai hoc kinh te hcm,dai hoc shiseikan,luat,quan tri kinh doanh
2246,Đại học Bách Khoa TP.HCM,0,dai hoc cong nghiep hcm,dai hoc bach khoa hcm,ly luan lich su phe binh my thuat,0
2247,"University of Economics, HCMC",Luật pháp,dai hoc kien giang,dai hoc kinh te hcm,ly luan lich su phe binh my thuat,luat
2248,Dai Hoc Cong Nghiep Ha Noi ,0,cao dang cong thuong hcm,dai hoc cong nghiep ha noi,ly luan lich su phe binh my thuat,0
2249,An Giang University (AGU) ,0,dai hoc ngoai thuong,dai hoc an giang,kinh te doi ngoai,0
2250,Cao Dang Cong Thuong TP.HCM ,0,trung hoc co so,cao dang cong thuong hcm,bao chi,0
2251,Đại học Ngoại Thương,Kinh tế đối ngoại,dai hoc kinh doanh cong nghe ha noi,dai hoc ngoai thuong,quan tri dich vu du lich lu hanh,kinh te
2252,trung học cơ sở,ko có,dai hoc thuy loi,trung hoc co so,pho thong,ko co
2253,Trường Đại học Kinh doanh và Công nghệ Hà Nội,Du lịch - Quản trị Khách sạn và Lữ hành,trung hoc pho thong,dai hoc kinh doanh cong nghe ha noi,pho thong,quan tri khach san
2254,hàn thuyên,thpt,cao dang cong nghe kinh te cong nghiep,CannotFound,ke toan,trung hoc pho thong
2255,Trường THPT Trương Định,phổ thông,dai hoc kien truc da nang,trung hoc pho thong truong dinh,ngon ngu anh,pho thong
2256,Trường TC kinh tế công nghệ Nguyễn Bỉnh Khiêm,Kế toán,dai hoc kinh te quoc dan,CannotFound,quan tri nhan luc,ke toan
2257,Đại học Kiến Trúc Đà Nẵng,Ngôn ngữ Anh,dai hoc kinh te quoc dan,dai hoc kien truc da nang,an toan thong tin,ngon ngu anh
2258,Đại học Kinh tế Quốc dân,Quản trị Nhân lực,hoc vien bao chi tuyen truyen,dai hoc kinh te quoc dan,chinh tri hoc,quan tri nhan luc
2259,Đại học Kinh tế Quốc dân,Kế toán Tổng hợp,vien dai hoc mo ha noi,dai hoc kinh te quoc dan,cong nghe sinh hoc,ke toan
2260,Học viện Báo Chí và tuyên truyền,Chính trị học,dai hoc luat hcm,hoc vien bao chi tuyen truyen,ky thuat hinh su,chinh tri hoc
